sample_rank,question_item_id,question_class_id,channel,topic,risk_group,answer_classification,unsafe_reasons,outdated_or_unverified_fact_risks,historical_manager_answer_safe,safe_pattern_summary,usable_as_fact
83,question_item:00af43e38a9b6bd508a93b4278255b4c,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
84,question_item:070733af368a0b3b959a4e6a9d53d67a,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,source_required_personal_data_redaction,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
85,question_item:085be28321397e335839f1fd527a0015,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
86,question_item:0ae1019b4082606b1fa5b3bee078b106,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
87,question_item:0b077ce7f686d3af4185ec53dc4324fe,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
88,question_item:0c5953a42875aa29d32042f12aa583d2,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
89,question_item:0dc36adb142c996344ba5371583d4b93,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
90,question_item:131116d1b1ab73214849752279734952,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
91,question_item:14c77b34e6fea48bbcab5159e49dba10,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
92,question_item:14ce4c83a24139dd485daf589504acdd,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
93,question_item:1536642d3a3704b5051142a48a0e5cbf,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
94,question_item:1ff30ef26f8022ebc3a121f46df39f19,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,source_required_personal_data_redaction,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
95,question_item:2d1b019d2409c3d8ee8eb06b4ba7783a,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
96,question_item:2e33cbea223d8aba1708403be3951685,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,source_required_personal_data_redaction,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
97,question_item:2f64025c4abb7ef56192a3c99db51928,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
98,question_item:313f2d2e82ec3c0601672e5673c6e16d,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
99,question_item:33a220958ed9148638e443d2a24cf097,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
100,question_item:3519531bb89bb01ce0924931f67b766d,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
101,question_item:3ae9c67a0ce605c2f9b88851fb937dbc,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
102,question_item:3bf6e3509b134fbec06cf54a5c192ba1,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
103,question_item:49709ff9f27b3cd3927c691b7f87632c,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
104,question_item:50bb3b8322f46df178e0629d08c3964b,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
105,question_item:55e7e5d82d41082d66a57fe0b06dd863,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,source_required_personal_data_redaction,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
106,question_item:56fbd95c3db39d766024ccacc578faa5,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
107,question_item:5b9d28094d2f76cc448286c17c10d37f,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
108,question_item:5c40022e78a4540da9495043548424e5,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
109,question_item:5fabe2610cf34376ab2ed491d8d1318d,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
110,question_item:676eacfc5f3c0411f968a1079416dd40,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
111,question_item:6d876f5e5ccf616acd874eb6fa766120,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
112,question_item:7003a8e287d27a7b8a03ce98fa4421ec,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
113,question_item:71e3d25b11223c8f025901108bdf89f3,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
114,question_item:74f695c39bb5bd59db1180542b6b1af1,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
115,question_item:79b74d58c6beb6910ffaa9de1962da50,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,source_required_personal_data_redaction,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
116,question_item:7aa2fe41f0af5261f0723d2edb2c7ebe,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
117,question_item:7e6751facfa5d9b18aa98790f506993e,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
118,question_item:881684d53c13a4d84469701d7a39fea2,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
119,question_item:8cfa57c116c783aa2e306587a2f35341,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
120,question_item:90ad00d94914bdef338adf37c871df82,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
121,question_item:93d71769e0e461069c127a9ea8a91b58,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
122,question_item:9ca4a35f3a22f3404944b80c76c2195a,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
123,question_item:9f9dacff122a7b897554068c7c193545,question_class:752b01c7ec3718c0a8b3ec28dbd71222,email,адрес / очная площадка,safe,no_answer,,requires_current_location|review_requires_actual_fact_check,"Понял, не буду настаивать. Подскажите, причина больше в расписании, цене или формате? Я зафиксирую и вернусь только если появится подходящий вариант.","Коротко ответить по сути, отделить стиль от фактов и оставить точные условия на проверку менеджера.",false
124,question_item:0024a8ef84c8467b85607c9128da1c39,question_class:76c2e1e6be79c4b0d8487c17b10c0b76,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"давайте зафиксирую группу 8 класса онлайн по математике на актуальное окно записи. На первом занятии будет тестирование, после него преподаватель даст рекомендации; если поймете, что формат не подходит, мы отдельно разберем варианты. Стоимость первого семестра для новых учеников актуальную стоимость, место закрепляется после оплаты актуальное окно записи. Сейчас повторно пришлю QR-код и отдельно приложу программы для 10 класса по математике, физике и информатике.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
125,question_item:01585df9892a13b92fc152aadbdec187,question_class:bf84cc50d99d173c3f9bd24e466ceefb,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Да, вижу, Лев сейчас записан в базовую группу. Если ему там скучновато и он уверенно идет по математике, логично попробовать продвинутую физику. Она в актуальное окно записи с актуальное окно записи до актуальное окно записи, адрес, который подтвердит менеджер, преподаватель. Я сейчас перезапишу и отправлю данные на почту. После первого занятия можно будет понять по темпу и обратной связи преподавателя, подходит ли группа Льву.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
126,question_item:0175dd4c0547b6513c6690d51eb50198,question_class:5931bc728a0e31d42c9c2c2385dead38,call,цена,commercial,outdated,,requires_current_price|answer_status_requires_current_fact,"Людмила, вопрос абсолютно правильный: за два месяца нельзя обещать чудо, но интенсив имеет смысл, если нужно системно добрать типовые задания и закрыть пробелы перед экзаменом. Лучше сделать так: я уточню формат и программу, пришлю вам расписание и стоимость, а также предложу короткую диагностику или консультацию по уровню сына, чтобы честно понять, какие баллы реально подтянуть за оставшееся время.","Подтвердить вопрос о стоимости, не называть сумму из истории и передать менеджеру задачу проверить актуальный расчет.",false
