dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,brand_separation_violation,high_risk_route_relaxed,baseline_manager_only_relaxed,baseline_manager_only_preserved,baseline_draft_text,enriched_draft_text
1006885321,5092,"Добрый день! Подскажите пожалуйста, мы зарегистрировались на математику. Остальные курсы добавятся в соответствии с программой?",theme:016_program,theme:016_program,draft_for_manager,draft_for_manager,False,False,25,24,False,False,True,False,False,False,False,False,False,"Добрый день! Да, подскажите, пожалуйста, на какую именно программу вы зарегистрировались и в каком личном кабинете/разделе сейчас видите математику? Мы проверим состав программы и порядок добавления остальных курсов, после этого уточним, как они должны отображаться.","Добрый день! Уточню по вашей регистрации и выбранной программе. Остальные курсы добавляются, если они входят в оформленную программу или пакет. Проверю, что именно указано по вашей записи, и подскажу, какие курсы должны появиться и в какие сроки."
1063099421,5114,"В случае невозможности замены класса, как можно получить возврат платежа?",theme:009_refund,theme:009_refund,manager_only,manager_only,False,False,29,22,False,False,True,False,False,False,False,False,False,"Здравствуйте, Павел Геннадьевич! Сначала проверим, можем ли оперативно перевести ученика в подходящую группу для 5 класса. Если такой возможности не будет, отдельно подскажем порядок оформления возврата после проверки оплаты и условий договора. Пришлите, пожалуйста, ФИО ученика и, если есть, подтверждение оплаты или номер договора.","Здравствуйте! Сначала проверим, можем ли оперативно перевести ученика в подходящую по классу группу. Если замена не получится, подскажем порядок оформления возврата и какие данные понадобятся. Уточню информацию и вернусь с ответом."
1081226575,10440,"Радионов Фёдор, 7 класс (сейчас в 6), Радионова Екатерина Ивановна, 8-908-207-15-85, yekaterina.radionova.97@mail.ru",theme:020_enrollment,theme:020_enrollment,manager_only,manager_only,False,False,19,29,True,False,True,False,False,False,False,False,False,"Спасибо! Данные получили. Передадим их для внесения в список желающих на курс «Информатика, 7 класс». Когда появится актуальная информация по записи на следующий учебный год, с вами свяжутся.","Данные для списка желающих получены: Радионов Фёдор, сейчас 6 класс, интересует информатика для 7 класса. Родитель: Радионова Екатерина Ивановна, телефон 8-908-207-15-85, email yekaterina.radionova.97@mail.ru. Клиенту можно коротко подтвердить получение данных после проверки менеджером."
1084253673,12551,"Если ученик пропустил  урок онлайн, то может посмотреть его в записи, а если пропущен урок оффлайн? Ребенок сможет как-то ознакомиться с материалами этого урока?",theme:018_materials_homework,theme:018_materials_homework,draft_for_manager,draft_for_manager,False,False,33,33,False,False,True,False,False,False,False,False,False,"Здравствуйте! По онлайн-занятиям запись обычно помогает закрыть пропуск. По очным занятиям порядок лучше уточнить по конкретной группе: как правило, можно передать тему урока, домашнее задание и доступные материалы, но запись очного занятия может не вестись. Уточним для выбранного формата и подскажем, как ребенку лучше ознакомиться с пропущенной темой.","Здравствуйте! По онлайн-занятиям запись обычно помогает разобрать пропущенный урок. Если пропущено очное занятие, мы можем проверить по вашей группе, какие материалы доступны: тему урока, домашнее задание и дополнительные материалы, если они предусмотрены. Подскажите, пожалуйста, фамилию ученика и группу, чтобы сориентировать точнее."
1195180485,6952,"Здравствуйте, к сожалению ещё не связалась. Подскажите когда начинаются курсы? Или они уже идут?",theme:013_schedule,theme:013_schedule,manager_only,manager_only,False,False,20,31,True,False,True,False,False,False,False,False,True,"Здравствуйте! Уточню актуальные даты старта и расписание групп для 3 класса, особенно по Долгопрудному. Если группы уже начались, подскажем, можно ли присоединиться сейчас и какие варианты есть по дням.","Здравствуйте! Уточню актуальное расписание и наличие мест по очным курсам для 3 класса: часть групп может уже идти, часть — открываться позже. Если Долгопрудный всё ещё удобен, напишите, пожалуйста, какие дни удобнее: суббота или воскресенье. После проверки вернусь с ближайшими вариантами и датой старта или подключения."
1310123458,5029,"1)Рассрочку можно оформить только в Т-банке? 
2) На каких условиях?",theme:006_installment,theme:006_installment,manager_only,manager_only,False,False,25,29,True,False,True,False,False,False,False,False,True,"Здравствуйте! По рассрочке нужно проверить актуальные условия по выбранному курсу: через какой банк можно оформить, на какой срок, есть ли первоначальный взнос и дополнительные условия. Подскажите, пожалуйста, какой курс вы рассматриваете, и я уточню доступные варианты рассрочки.","Здравствуйте! По рассрочке для обучения в Фотоне сориентируем. Предварительно в материалах указан вариант через Т-Банк, но актуальный банк и условия нужно проверить перед оформлением: срок, платежи и доступность зависят от текущих правил и выбранной программы. Уточню свежие условия и подскажу вам точный порядок."
1415492438,15218,Сегодня с мужем обсудим и Вам сообщим!,service:S1_non_question,service:S1_non_question,manager_only,manager_only,False,False,9,14,True,False,True,False,False,False,False,False,False,"Поняла, спасибо! Обсудите, пожалуйста, и напишите, как примете решение. Буду на связи.","Хорошо, буду ждать вашего решения. Если появятся дополнительные вопросы по смене или оплате, напишите, пожалуйста, сориентирую."
143146369,5524,встречаем детей на ховрино и хочется более-менее поточнее рассчитать время прибытия,theme:028_transport_logistics,theme:028_transport_logistics,draft_for_manager,draft_for_manager,False,False,25,26,False,False,True,False,False,False,False,False,False,"Здравствуйте! Понимаю, вам нужно точнее сориентироваться по времени встречи у м. Ховрино. Сейчас лучше уточнить актуальный ориентир по трансферу с учетом фактического выезда и дороги. Я проверю у ответственных за автобус и напишу, во сколько примерно ожидать прибытие.","Понимаю, вам нужно точнее рассчитать время встречи детей на Ховрино. Сейчас уточню актуальное время по трансферу и напишу ориентир по прибытию. Точное время может зависеть от фактического отправления и дороги, поэтому лучше подтвердить его по текущему автобусу."
1431545976,13231,Есть ли у вас пробные уроки ?,theme:023_trial_class,theme:023_trial_class,draft_for_manager,draft_for_manager,False,False,25,11,False,False,True,False,False,False,False,False,False,"Здравствуйте! Можем проверить возможность пробного занятия по физике для 9 класса. Подскажите, пожалуйста, какой формат вам удобнее: онлайн или очно, и цель подготовки — ОГЭ, школьная программа или повышение уровня? После этого сориентируем по подходящим вариантам.","Здравствуйте! По пробному занятию сориентируем. Уточню актуальные варианты для подготовки по физике, 9 класс, и вернусь с условиями."
1750927174,5841,Добрый день мы предварительно записывались на физику в Москве для 8 класса. Наши действия?,service:S4_status_request,service:S4_status_request,draft_for_manager,draft_for_manager,False,False,27,24,False,False,True,False,False,False,False,False,False,"Добрый день! Поняла, речь про предварительную запись на физику в Москве для 8 класса. Сейчас проверим актуальный статус записи и подскажем следующие шаги: нужно ли что-то подтвердить, дождаться расписания, оформить документы или оплату. Вернемся к Вам с точной информацией после проверки.","Здравствуйте! Уточним статус вашей предварительной записи на физику для 8 класса в Москве и подскажем следующий шаг. Проверим, закреплена ли запись за учеником, есть ли подтвержденное место в группе и нужны ли от вас дополнительные данные. После проверки напишем, что делать дальше."
1751378045,16392,"Не надо связываться, спасибо",service:S3_out_of_scope,service:S3_out_of_scope,manager_only,manager_only,False,False,15,12,False,False,True,False,False,False,False,False,False,Клиент просит не связываться. Сообщение клиенту отправлять не нужно. Менеджеру стоит зафиксировать отказ и просьбу не контактировать по регламенту компании.,Клиент просит не связываться. Рекомендую не отправлять ответ клиенту и не продолжать контакт без отдельного решения менеджера.
1823221342,6474,Письмо со ссылкой получила. Спасибо.,service:S1_non_question,service:S1_non_question,manager_only,manager_only,False,False,5,3,False,False,True,False,False,False,False,False,False,"Здравствуйте! Спасибо, рады, что письмо со ссылкой получили.",Пожалуйста! Хорошего занятия.
331532799,3014,"Здравствуйте, Летняя Выездная школа находится в Менделеево у Зеленограда?",theme:019a_positive_feedback,theme:026_camp_general,manager_only,manager_only,False,False,5,16,True,False,True,False,False,False,False,False,True,"Пожалуйста! Если появятся вопросы, напишите.","Здравствуйте! Да, Летняя выездная школа Фотон проходит в Менделеево. Точный адрес и схему проезда лучше дополнительно сверим и пришлем актуальную информацию."
421419227,9694,"Добрый день, оплата за Еремина М и Еремина М",service:S2_unclear,service:S2_unclear,manager_only,manager_only,False,False,18,14,False,False,True,False,False,False,False,False,False,"Добрый день! Уточните, пожалуйста, что именно нужно по оплате за Машу и Максима: проверить поступление платежа, прислать способ оплаты или подсказать сумму/срок?","Здравствуйте! Уточните, пожалуйста, что именно нужно по оплате за Машу и Максима: проверить поступление, прислать способ оплаты или подсказать сроки оплаты?"
