dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,brand_separation_violation,high_risk_route_relaxed,baseline_manager_only_relaxed,baseline_manager_only_preserved,baseline_draft_text,enriched_draft_text
foton_smoke_01,foton_smoke_01:client,Сколько стоит онлайн-курс для 9 класса на 2026/2027 учебный год?,theme:016_program_content,theme:001_pricing,draft_for_manager,draft_for_manager,True,False,3,19,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню актуальную стоимость онлайн-курса Фотон для 9 класса на 2026/2027 учебный год и напишу вам. Также сориентирую, чем отличается оплата за семестр и за год, если оба варианта доступны."
foton_smoke_02,foton_smoke_02:client,"А скидка какая будет, если возьмём математику и физику вместе онлайн?",theme:005_discounts,theme:005_discounts,bot_answer_self,draft_for_manager,True,False,3,15,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню актуальные условия по скидке на два предмета онлайн. Напишите, пожалуйста, класс ученика и какой период оплаты рассматриваете: семестр или год."
foton_smoke_03,foton_smoke_03:client,Можно растянуть оплату на год? Не хочу платить всё сразу.,theme:006_installment,theme:006_installment,bot_answer_self,draft_for_manager,True,False,3,20,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Понимаю, что удобнее не оплачивать всю сумму сразу. По оплате по частям нужно проверить актуальные условия для Фотона: возможный срок, размер платежей и порядок оформления. Уточним и вернемся к вам с подтвержденной информацией."
foton_smoke_04,foton_smoke_04:client,"Принимаете ли вы материнский капитал на оплату? Боюсь, что нет лицензии.",theme:007_matkap_payment,theme:007_matkap_payment,bot_answer_self,manager_only,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,Здравствуйте! Спасибо за вопрос. Я проверю актуальные условия по Фотону: возможна ли оплата материнским капиталом для выбранной программы и какие подтверждающие документы есть. После проверки вернусь к вам с подтвержденной информацией.
foton_smoke_05,foton_smoke_05:client,"Расскажите про летний лагерь — даты, цены, какие смены?",theme:021_camps,theme:026_camp_general,draft_for_manager,draft_for_manager,True,False,3,24,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! По летнему лагерю Фотона: предварительно городская смена в Москве указана на 3–14 августа. Актуальную стоимость, наличие мест и список доступных смен сейчас лучше уточнить у менеджера, чтобы дать вам точную информацию."
foton_smoke_06,foton_smoke_06:client,Налоговый вычет за двоих детей сколько вернут?,theme:008_tax_deduction,theme:008_tax_deduction,bot_answer_self,draft_for_manager,True,False,3,35,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! По налоговому вычету сумма зависит от оплаченной суммы, года оплаты, того, кто оплачивал обучение, и суммы удержанного НДФЛ. Точную сумму возврата лучше считать по документам и подтверждать через налоговую. Пришлите, пожалуйста, данные по оплатам за каждого ребенка, и менеджер подскажет, какие документы можем подготовить со стороны Фотона."
foton_smoke_07,foton_smoke_07:client,"А договор когда пришлёте? Хочу подписать сначала, потом платить.",theme:011_contract,theme:011_contract,bot_answer_self,draft_for_manager,True,False,3,20,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Да, понимаю: сначала хотите получить и подписать договор, а уже потом оплачивать. Подскажите, пожалуйста, актуальный email, на который удобно отправить договор. Менеджер проверит данные и сориентирует по сроку отправки."
foton_smoke_08,foton_smoke_08:client,Нужна справка об обучении ребёнка — для налоговой. Какую именно? И когда будет?,theme:008_tax_deduction,theme:008_tax_deduction,bot_answer_self,draft_for_manager,True,False,3,22,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Для налоговой по обучению ребёнка подготовим нужные подтверждающие документы, но я сначала уточню актуальный перечень и срок подготовки. Подскажите, пожалуйста, ФИО ребёнка, за какой период нужна справка и на какой email удобнее получить документы."
foton_smoke_09,foton_smoke_09:client,Куда платить — по карте или по счёту? И на какое юр.лицо?,theme:002_payment_method,theme:002_payment_method,draft_for_manager,draft_for_manager,True,False,3,23,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню по вашей заявке доступный способ оплаты: картой или по счету. Также проверю корректное юрлицо и реквизиты, чтобы вы оплатили правильно. После проверки пришлю подтвержденную ссылку на оплату или счет."
foton_smoke_10,foton_smoke_10:client,Когда онлайн-занятия — по субботам или по воскресеньям? У нас музыкалка по сб.,theme:013_schedule,theme:013_schedule,draft_for_manager,draft_for_manager,True,False,3,24,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! У нас есть разные онлайн-группы, поэтому лучше уточнить актуальные варианты по расписанию. Подскажите, пожалуйста, для какого класса или курса подбираете занятия и какое время в воскресенье вам было бы удобно? Проверим доступные группы и сориентируем."
foton_smoke_11,foton_smoke_11:client,"Хочу вернуть деньги за курс — ребёнок занимается уже два месяца, но прогресса нет.",theme:009_refund,theme:009_refund,manager_only,manager_only,True,False,7,27,True,True,True,False,False,False,False,False,False,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом.","Здравствуйте! Понимаю ваше беспокойство. Давайте разберёмся в ситуации и проверим данные по обучению ребёнка: посещаемость, выполненные задания и обратную связь по прогрессу. Подскажите, пожалуйста, ФИО ребёнка, курс и удобный номер для связи. После проверки менеджер сориентирует вас по возможным дальнейшим шагам."
foton_smoke_12,foton_smoke_12:client,"Преподаватель плохо ведёт занятия, мой ребёнок ничего не понимает. Это безобразие!",theme:019b_negative_feedback,theme:019b_negative_feedback,manager_only,manager_only,True,False,7,25,True,True,True,False,False,False,False,False,False,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом.","Здравствуйте! Мне очень жаль, что у вас сложилось такое впечатление. Пожалуйста, напишите имя ученика, курс или группу и что именно вызывает сложности: темп, объяснения, домашние задания или обратная связь с преподавателем. Мы разберём ситуацию и вернёмся к вам с дальнейшими шагами."
foton_smoke_13,foton_smoke_13:client,Если результата не будет — буду обращаться в Роспотребнадзор и подавать в суд!,theme:029_legal_question,theme:029_legal_question,manager_only,manager_only,True,False,7,26,True,True,True,False,False,False,False,False,False,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом.","Здравствуйте! Понимаю, что ситуация для вас серьезная. Давайте зафиксируем обращение и разберем его по фактам: уточните, пожалуйста, какой именно результат вы ожидаете и по какому вопросу ранее обращались. Я передам информацию ответственному сотруднику, чтобы вам дали предметный ответ по ситуации."
foton_smoke_14,foton_smoke_14:client,"Гарантируете, что ребёнок сдаст ЕГЭ на 90+? Иначе зачем платить?",theme:019b_negative_feedback,theme:016_program,draft_for_manager,manager_only,True,False,3,45,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Понимаю ваш вопрос. Гарантировать конкретный балл на ЕГЭ было бы некорректно: результат зависит не только от курса, но и от стартового уровня, регулярности занятий, выполнения домашних заданий и самостоятельной подготовки. Мы можем сориентировать по программе, формату подготовки и тому, как обычно выстраивается работа для сильного результата. Если хотите, уточните, пожалуйста, класс ребёнка, предмет и текущий уровень — подскажем, какой вариант подготовки в Фотоне может подойти."
foton_smoke_15,foton_smoke_15:client,"А вы и УНПК МФТИ — это одна организация? Подруга говорит, что курсы у вас одинаковые.",theme:016_program_content,service:S5_general_consultation,bot_answer_self,draft_for_manager,True,False,3,18,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Это отдельные организации, по вашему вопросу сориентируем в рамках текущего учебного центра. Если хотите, подберем подходящую программу и расскажем, чем она отличается по содержанию и формату."
