sample_rank,question_item_id,question_class_id,channel,topic,risk_group,answer_classification,answer_quality,customer_question_safe,context_summary,historical_manager_answer_safe,historical_answer_presence,client_followup_observed,technique,unsafe_reasons,outdated_or_unverified_fact_risks,usable_as_example,usable_as_fact,safe_pattern_summary,safe_pattern_template,required_fact_keys,bot_permission,answer_evidence_status,occurred_at,source_ref
1,question_item:6382e132841e4931254d26476d781a9c,question_class:812123893f9f874718e5c8388d3bf714,call,возраст / класс / уровень,safe,good,good_candidate,"Клиент хотел понять, соответствует ли программа уровню 8 класса, можно ли дать более серьезную нагрузку и получить рекомендации по более углубленной траектории ближе к наш учебный центр, ИТ и химии.",класс: возраст / класс / уровень / выбор базовой или продвинутой группы / химия / 8 класс; продукт: не указан; формат: не указан; нужны факты: [],"понял: Горацию в целом нравится, но ему нужна более серьезная траектория и ясность, где сейчас уровень актуальное окно записи, а где полноценный 8 класс. Я передам куратору и преподавателям запрос по математике, физике, ИТ и химии. Попросим оценить, можно ли усилить нагрузку, дать рекомендации ближе к наш учебный центр и вернуться к вам с конкретными вариантами через личный кабинет или звонком.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Попросить только данные, нужные для проверки, без лишних персональных деталей и без обещаний.","Понял(а). Чтобы менеджер проверил вопрос, уточним только необходимые данные и вернемся с ответом.",[],manager_only,manager_only,2026-03-11T16:39:20+00:00,call:enriched_reviews.csv#moment=74f0ceadc3af
2,question_item:b7908b86cbdfbebec7682991c93e8bed,question_class:bfc910e4d3bb18e3ee02137c73fecb21,call,возраст / класс / уровень,safe,good,good_candidate,"А если они занимались, а физика же сейчас уже с какого класса-то? С седьмого начинает? То есть она может выбирать, да?",класс: возраст / класс / уровень / ручной разбор: общий вопрос по уровню / физика; продукт: не указан; формат: не указан; нужны факты: [],"Да, для 5 класса мы можем дать математику и базовое знакомство с физикой. Ребенка сначала протестируют, затем распределят по уровню, а преподаватель учтет, что ей интереснее: школьная база, более сложные задачи или олимпиадная логика. Программирования для 5 класса в этой смене нет. актуальное окно записи я поставлю, а в актуальное окно записи уточним ваше решение.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Попросить только данные, нужные для проверки, без лишних персональных деталей и без обещаний.","Понял(а). Чтобы менеджер проверил вопрос, уточним только необходимые данные и вернемся с ответом.",[],manager_only,manager_only,2026-04-03T18:54:16+00:00,call:enriched_reviews.csv#moment=33b2824d3542
3,question_item:e1b0b276d537815065812b403f479e64,question_class:8d7640734885d98e05ebd51eb8f5f1d5,call,возраст / класс / уровень,safe,good,good_candidate,"Родитель хочет понять, поможет ли лагерь закрыть пробелы по математике, как пройдет тестирование, как организован день, будет ли подход к ребенку с низкой мотивацией и какие документы нужны.",класс: возраст / класс / уровень / тестирование и распределение / летняя школа / математика; продукт: летняя школа; формат: не указан; нужны факты: [],"Понимаю вашу задачу: к сентябрю подтянуть математику без ощущения, что ребенка просто посадили решать одному. Для этого и нужно тестирование: мы увидим уровень и определим его в подходящую группу, где будут закрывать школьные пробелы. Занятия идут в небольших группах, преподаватель разбирает материал, а не просто дает задания. Пусть он пройдет тест сам, а если после него будет ощущение, что уровень не тот, позвоните, мы обсудим группу и ожидания.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Попросить только данные, нужные для проверки, без лишних персональных деталей и без обещаний.","Понял(а). Чтобы менеджер проверил вопрос, уточним только необходимые данные и вернемся с ответом.",[],manager_only,manager_only,2025-07-31T15:06:23+00:00,call:enriched_reviews.csv#moment=6f3defae40a0
4,question_item:08088cfca557a658ce100f8b066935c7,question_class:08f886f8dbf4f640e69911d7c5b04bf1,call,доступ/ссылки,safe,good,good_candidate,"Клиентка повторно обращается из-за сервисной проблемы: после обещанной обратной связи по занятиям ребенка в лагере прошла неделя, но письмо так и не пришло.",класс: письмо / ссылка / доступ не пришли / развернутый пересказ разговора / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: [],"Понимаю, неприятно, что прошла неделя, а письмо так и не пришло. Сейчас я нашла вас по номеру и передам куратору информацию, что обратная связь не получена. Я попрошу отправить письмо актуальное окно записи и дополнительно связаться с вами. Если менеджер свяжется с вами после проверки, где оно остановилось.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-01-22T12:30:18+00:00,call:enriched_reviews.csv#moment=fdc2d6c9e62f
5,question_item:09b6605efe3da0eb698a7151c71739b5,question_class:c4ea610e8ddc5eba321ac6250d6b0ba8,call,доступ/ссылки,safe,good,good_candidate,"Клиент спрашивает, нужно ли сыну приносить начальное тестирование на первое воскресное занятие и где взять тест, потому что ссылка закрыта и нет возможности заранее распечатать.",класс: доступ / технический вопрос / развернутый пересказ разговора / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: [],"Понимаю, неудобно, что ссылка закрыта, особенно если распечатать сможете только позже. Я сейчас менеджер свяжется с вами после проверки отвечу вам на письмо. Пока ничего дополнительно не печатайте: если тест нужен, я пришлю рабочую ссылку или файл, а если нет, прямо напишу, что ребенок может прийти без него.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-09-12T14:00:33+00:00,call:enriched_reviews.csv#moment=5ec34e[номер]
6,question_item:0c094afa0a3e64a644443a3693401cc9,question_class:b68d41b15a61f7115ffcb1d03e488de9,call,доступ/ссылки,safe,good,good_candidate,"Клиент хочет актуальное окно записи место на летнюю смену актуальное окно записи июня, уточняет даты альтернативы и просит ссылку или подробную информацию.",класс: доступ / технический вопрос / развернутый пересказ разговора / летняя школа; продукт: летняя школа; формат: не указан; нужны факты: [],"Понимаю, вы уже были готовы актуальное окно записи место на актуальное окно записи июня. На эту смену мест сейчас нет, но есть близкая альтернатива актуальное окно записи июня на той же площадке и с нашими преподавателями. Я сейчас отправлю программу и условия на почту, давайте менеджер свяжется с вами после проверки около актуальное окно записи коллеги свяжутся с вами и, если вариант подойдет, помогут закрепить место.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2026-04-07T17:50:33+00:00,call:enriched_reviews.csv#moment=2c55e7ddebc7
7,question_item:1183305c711b78fa4cf9cb2364bbb8ae,question_class:7b2dfcec56789895d3ea61f98ab67ef1,call,доступ/ссылки,safe,good,good_candidate,"Родитель доволен онлайн-курсом по математике и планирует продолжать обучение, но просит письменное резюме, уточняет сроки занятий, доступ к материалам на лето, дедлайн тестирований и просит лучше информировать родителей о контрольных точках курса.",класс: доступ / технический вопрос / развернутый пересказ разговора / регулярный курс / математика / онлайн; продукт: регулярный курс; формат: онлайн; нужны факты: [],"отправлю вам на почту кратко: занятия актуальное окно записи, два ключевых тестирования желательно пройти до этой даты, материалы остаются доступны летом. Ваше пожелание по плану контрольных точек на год передам куратору. И раз вы планируете продолжать, зафиксирую: на следующий год вам актуальна математика, а по физике и информатике вернемся после отзывов преподавателей. актуальное окно записи сообщу их обратную связь.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-05-18T17:55:51+00:00,call:enriched_reviews.csv#moment=9961d4d5cbb2
8,question_item:1421aedaefc5de438b53bf29b4bd6b22,question_class:b2b9c1f0810bbec5e34174ad904c05bb,call,доступ/ссылки,safe,good,good_candidate,"Действующая клиентка просит продублировать доступ к личному кабинету/информацию на почту и уточняет, дает ли преподаватель домашние задания; также слушает отзыв по прогрессу сына по физике.",класс: доступ / технический вопрос / развернутый пересказ разговора / физика; продукт: не указан; формат: не указан; нужны факты: [],"сейчас продублирую на вашу почту доступ к личному кабинету и отзыв преподавателя. По домашним заданиям я не буду гадать: уточню у преподавателя физики, в каком формате он задает и проверяет ДЗ, и напишу вам ответ. Если после входа в кабинет что-то не откроется, ответьте на письмо, мы поможем зайти. Отдельно могу приложить информацию по летней школе, чтобы вы просто посмотрели в удобное время.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-03-09T16:25:20+00:00,call:enriched_reviews.csv#moment=63c9d2642c53
9,question_item:151336d3fcc16f97302a599007be8131,question_class:fc0a3b962701fc6fb377cf7a0e0cd3e8,call,доступ/ссылки,safe,good,good_candidate,"Действующая клиентка не заходила в личный кабинет и согласна получить подробный отзыв преподавателя по математике на почту, чтобы спокойно прочитать его.","класс: доступ / технический вопрос / личный кабинет, логин или пароль / математика; продукт: не указан; формат: не указан; нужны факты: []","отправлю отзыв на почту, чтобы вы спокойно посмотрели темы, где у ученика уже хороший результат, и зоны, которые преподаватель предлагает подтянуть. менеджер свяжется с вами после проверки; если появятся вопросы, можно ответить на него или написать преподавателю в чате. актуальное окно записи мы успеем все уточнить перед возвращением к занятиям.",present_redacted,not_reconstructed,запрос нужных данных,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-12-27T14:21:57+00:00,call:enriched_reviews.csv#moment=dcff9023b5d7
10,question_item:1aef85985cd8c8765fd7183189e8931d,question_class:c4ea610e8ddc5eba321ac6250d6b0ba8,call,доступ/ссылки,safe,good,good_candidate,"Клиентка обращается с сервисной проблемой: не пришло письмо со ссылкой на запись собрания, а первое занятие уже актуальное окно записи; также нужно понять группу, время и что делать перед занятием.",класс: доступ / технический вопрос / развернутый пересказ разговора / регулярный курс; продукт: регулярный курс; формат: не указан; нужны факты: [],"Понимаю, менеджер свяжется с вами после проверки почту и передам запрос на запись собрания. На всякий случай продублирую вам основные данные: группа и время, а инструкцию по подключению отправим на почту. Если до актуальное окно записи письмо не придет, я сама вам перезвоню и продиктую, куда заходить.",present_redacted,not_reconstructed,понятный следующий шаг,,,true,false,"Признать проблему с доступом, попросить данные для поиска заявки и передать проверку менеджеру.","Понял(а), есть вопрос по доступу или ссылке. Передам менеджеру, он проверит заявку и подскажет следующий шаг.",[],manager_only,manager_only,2025-09-13T09:47:24+00:00,call:enriched_reviews.csv#moment=10cb0b450ba2
