fact_key,brand,preview,has_grades,existing_grades,has_subjects,existing_subjects,has_formats,existing_formats,has_products,existing_products,has_is_positive_statement,needs_manual_audit,audit_reason,proposed_grades,proposed_subjects,proposed_formats,proposed_products,proposed_is_positive
academic_year_2026_27.daily_hours,foton,"Фотон: учебный год 2026/27, длительность занятия — 2 ак.ч.",False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.semester_1_weeks,foton,Фотон: в первом семестре 2026/27 учебного года 20 недель.,False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.semester_2_weeks,foton,Фотон: во втором семестре 2026/27 учебного года 15 недель.,False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.start,foton,"Фотон: учебный год 2026/27, старт занятий — 12-20 сентября 2026 в зависимости от",False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.start_by_location.moscow,foton,"Фотон: учебный год 2026/27, Москва — 12-13 сентября 2026.",False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.start_by_location.online,foton,"Фотон: учебный год 2026/27, онлайн — 19-20 сентября 2026.",False,,False,,True,online,True,academic_year_2026_27,False,False,,,,online,academic_year_2026_27,True
academic_year_2026_27.total_lessons,foton,"Фотон: учебный год 2026/27, количество занятий за год — 35 занятий.",False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
academic_year_2026_27.weekly_lessons,foton,Фотон: в учебном году 2026/27 занятия проходят 1 раз в неделю.,False,,False,,False,,True,academic_year_2026_27,False,False,,,,,academic_year_2026_27,True
brand_rules.approved_brand_relationship_answer.foton,foton,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебн",False,,False,,False,,True,brand_relationship,False,False,,,,,brand_relationship,True
certificates.types.course_attendance.form,foton,Фотон: справки и документы — Свободная форма.,False,,False,,False,,True,certificates,False,False,,,,,certificates,True
ls_city_2026_foton.discounts.already_paid_2026_27,foton,"Фотон: для городского летнего лагеря действует скидка 10% для семей, уже оплатив",False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.discounts.former_student_same_brand,foton,"Фотон: для городского летнего лагеря действует скидка 5% для учеников, которые р",False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.discounts.multichild,foton,Фотон: для городского летнего лагеря действует скидка 10% для многодетных семей.,False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.discounts.refer_a_friend.advanced,foton,"Фотон: для городского летнего лагеря по программе «приведи друга», расширенный т",False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.discounts.refer_a_friend.base,foton,"Фотон: для городского летнего лагеря по программе «приведи друга», базовый тариф",False,,False,,False,,True,city_camp_2026,False,True,уровни/разряды; числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.format,foton,"Фотон: городской летний лагерь — Очная городская школа, без проживания.",False,,False,,True,offline,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,offline,city_camp_2026,True
ls_city_2026_foton.free_morning_club.cost,foton,Фотон: городской летний лагерь — полностью бесплатно.,False,,False,,False,,True,city_camp_2026,False,True,числовой факт (риск расхождения между брендами),,,,city_camp_2026,True
ls_city_2026_foton.free_morning_club.description_for_client,foton,Фотон: городской летний лагерь — Предлёнка начинается со второго дня занятий в л,False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
ls_city_2026_foton.free_morning_club.from_day,foton,Фотон: утренний клуб в городском летнем лагере доступен со 2-го дня смены.,False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
ls_city_2026_foton.free_morning_club.name,foton,"Фотон: городской летний лагерь, название — Утренний клуб Предлёнка.",False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
ls_city_2026_foton.free_morning_club.time,foton,Фотон: городской летний лагерь — 09:45-11:45.,False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
ls_city_2026_foton.meals,foton,"Фотон: городской летний лагерь — Обед (первое, второе, салат, булочка) + полдник",False,,False,,False,,True,city_camp_2026,False,True,лагерь/смена с датой или возрастом,,,,city_camp_2026,True
