"gap_id","brand","area","gap","severity","source_refs","recommended_next_step"
"gap_001","cross_brand_risk","dynamic_facts","Цены и скидки требуют fresh owner source.","high","telegram;email;calls","создать approved fresh-facts pack"
"gap_002","cross_brand_risk","schedule","Расписание без группы и даты нельзя автономить.","high","telegram;email","добавить schedule fact contract"
"gap_003","unpk","camp","Наличие мест и лист ожидания требуют ручной проверки.","high","telegram;current_kb","route draft_or_manager"
"gap_004","cross_brand_risk","payment","Статус оплаты, чеков и счетов требует evidence.","high","email;telegram","manager_only"
"gap_005","cross_brand_risk","documents","Справки, договоры, СФР и ФНС смешивают общий порядок и индивидуальный статус.","high","email;telegram","разделить general vs status"
"gap_006","unknown","email_thread","Нет канонического thread layer для email drafts.","high","email_audit","сделать read-only thread index"
"gap_007","unknown","recipient_guard","Нет проверки получателя, копий и пересылок для email drafts.","high","email_audit","no-send email contract"
"gap_008","cross_brand_risk","attachments","OCR и extracted text не являются source of truth.","high","attachment_reports","evidence-only policy"
"gap_009","foton","installment","В current KB найден мусорный срок рассрочки.","high","current_kb_review","исправить KB перед autonomy"
"gap_010","cross_brand_risk","early_booking","В current KB найден технический sentinel в price facts.","high","current_kb_review","заменить или заблокировать"
"gap_011","unpk","trial","Формулировка пробной недели конфликтует с gold-запретом.","high","current_kb_review","manual decision"
"gap_012","cross_brand_risk","brand_relation","Нужно закрепить canonical safe phrase из brand policy и запретить свободные сравнения.","medium","telegram;kb","добавить brand_relation_canonical_gate"
"gap_013","cross_brand_risk","known_context","Нужно не спрашивать заново известные поля, но не раскрывать CRM/Tallanto details.","medium","pilot_feedback_tz","tests"
"gap_014","cross_brand_risk","manager_style","Исторические ответы полезны, но нет утвержденного playbook import flow.","medium","calls;telegram;email","создать style-only playbook approval"
