schema_version,run_index,provider_mode,dialog_id,active_brand,priority_note,message_count,target_message_id,target_date,current_client_message,previous_context,snapshot_run_id,selected_chunk_count,manager_patterns_count,knowledge_snippets,required_fact_keys,freshness_blocks,facts_fresh,used_kb_context,message_type,broad_group,topic_id,confidence_theme,confidence_group,alternative_themes,risk_level,route,draft_text,manager_checklist,missing_facts,context_warnings,safety_flags,forbidden_promises_detected,context_used,manager_followup_required,manager_followup_deadline,error
telegram_stage6_kb_eval_v1,1,codex,foton_smoke_01,foton,,2,foton_smoke_01:client,2026-05-18T10:01:00+03:00,Сколько стоит онлайн-курс для 9 класса на 2026/2027 учебный год?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""prices regular 2026 27 / early booking 2026 27 / online 5 11 semester: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽."", ""prices regular 2026 27 / early booking 2026 27 / online 5 11 year: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 47 250 ₽."", ""prices regular 2026 27 / online 1 4 class / before 2026 08 01 / semester: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, семестр — 19 000 ₽."", ""prices regular 2026 27 / online 5 11 class / before 2026 08 01 / semester: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, семестр — 29 750 ₽."", ""prices regular 2026 27 / online 1 4 class / before 2026 08 01 / year range: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, год — диапазон от 29 900 ₽ до 33 300 ₽."", ""prices regular 2026 27 / online 5 11 class / before 2026 08 01 / year range: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.""]",[],"[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:001_pricing,0.95,0.96,[],medium,draft_for_manager,"Здравствуйте! Уточню актуальную стоимость онлайн-курса Фотон для 9 класса на 2026/2027 учебный год и напишу вам. Также сориентирую, чем отличается оплата за семестр и за год, если оба варианта доступны.","[""Проверить актуальную стоимость Фотон для онлайн-курса 9 класса на 2026/2027 учебный год"", ""Проверить, можно ли клиенту называть цену за год и/или за семестр"", ""Не использовать исторические цены без проверки актуальности""]","[""актуальная стоимость онлайн-курса Фотон для 9 класса на 2026/2027 учебный год"", ""доступные варианты оплаты: семестр или год""]","[""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,2,codex,foton_smoke_02,foton,,2,foton_smoke_02:client,2026-05-18T10:01:00+03:00,"А скидка какая будет, если возьмём математику и физику вместе онлайн?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""prices regular 2026 27 / early booking 2026 27 / online 5 11 semester: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽."", ""prices regular 2026 27 / early booking 2026 27 / online 5 11 year: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 47 250 ₽."", ""prices regular 2026 27 / online 1 4 class / before 2026 08 01 / semester: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, семестр — 19 000 ₽."", ""prices regular 2026 27 / online 5 11 class / before 2026 08 01 / semester: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, семестр — 29 750 ₽."", ""prices regular 2026 27 / online 1 4 class / before 2026 08 01 / year range: Фотон: цены на 2026/27 учебный год, 1-4 класс, онлайн, до 01.08.2026, год — диапазон от 29 900 ₽ до 33 300 ₽."", ""prices regular 2026 27 / online 5 11 class / before 2026 08 01 / year range: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн, до 01.08.2026, год — диапазон от 47 250 ₽ до 52 500 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:005_discounts,0.94,0.95,"[""theme:001_pricing"", ""theme:014_format""]",medium,draft_for_manager,"Здравствуйте! Уточню актуальные условия по скидке на два предмета онлайн. Напишите, пожалуйста, класс ученика и какой период оплаты рассматриваете: семестр или год.","[""Проверить актуальные условия скидки для Фотона по двум онлайн-предметам."", ""Уточнить класс ученика и период оплаты перед расчетом."", ""Не называть точную скидку без свежего подтверждения.""]","[""актуальная скидка при выборе математики и физики вместе онлайн"", ""класс ученика"", ""период оплаты: семестр или год""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,3,codex,foton_smoke_03,foton,,2,foton_smoke_03:client,2026-05-18T10:01:00+03:00,Можно растянуть оплату на год? Не хочу платить всё сразу.,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: Фотон: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: Фотон: ЛВШ Менделеево — 98 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: Фотон: ЛВШ Менделеево — 75 000 ₽."", ""individual lessons foton / prices / lesson 45min: Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽."", ""individual lessons foton / prices / package 5 sessions: Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽."", ""individual lessons foton / prices / session 90min: Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:006_installment,0.97,0.96,"[""theme:004_payment_schedule""]",medium,draft_for_manager,"Здравствуйте! Понимаю, что удобнее не оплачивать всю сумму сразу. По оплате по частям нужно проверить актуальные условия для Фотона: возможный срок, размер платежей и порядок оформления. Уточним и вернемся к вам с подтвержденной информацией.","[""Проверить актуальные условия оплаты по частям для Фотона"", ""Уточнить, возможен ли срок оплаты на год"", ""Не обещать рассрочку или график платежей без подтверждения""]","[""актуальные условия оплаты по частям"", ""возможность растянуть оплату на год"", ""первый платеж и график платежей"", ""порядок оформления""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""facts_context""]",True,,
telegram_stage6_kb_eval_v1,4,codex,foton_smoke_04,foton,,2,foton_smoke_04:client,2026-05-18T10:01:00+03:00,"Принимаете ли вы материнский капитал на оплату? Боюсь, что нет лицензии.","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: Фотон: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: Фотон: ЛВШ Менделеево — 98 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: Фотон: ЛВШ Менделеево — 75 000 ₽."", ""individual lessons foton / prices / lesson 45min: Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽."", ""individual lessons foton / prices / package 5 sessions: Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽."", ""individual lessons foton / prices / session 90min: Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.""]","[""prices.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:007_matkap_payment,0.93,0.94,"[""theme:029_legal_question"", ""theme:012_certificates""]",medium,manager_only,Здравствуйте! Спасибо за вопрос. Я проверю актуальные условия по Фотону: возможна ли оплата материнским капиталом для выбранной программы и какие подтверждающие документы есть. После проверки вернусь к вам с подтвержденной информацией.,"[""Проверить актуальную возможность оплаты материнским капиталом по Фотону."", ""Проверить наличие и актуальность лицензии/документов, которые можно показывать клиенту."", ""Не использовать устаревший snapshot как подтвержденный факт."", ""Высокорисковая тема: не отправлять клиенту без ручной проверки.""]","[""актуальные условия оплаты материнским капиталом"", ""актуальные документы/лицензия Фотона"", ""выбранная программа клиента""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send"", ""high_risk_manager_only""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,5,codex,foton_smoke_05,foton,,2,foton_smoke_05:client,2026-05-18T10:01:00+03:00,"Расскажите про летний лагерь — даты, цены, какие смены?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""ls city 2026 foton / moscow foton / dates: Фотон: городской летний лагерь, Москва, даты — 3-14 августа."", ""ls city 2026 foton / free morning club / from day: Фотон: городской летний лагерь — 2."", ""ls city 2026 foton / discounts / already paid 2026 27: Фотон: городской летний лагерь — 10%."", ""ls city 2026 foton / discounts / multichild: Фотон: городской летний лагерь — 10%."", ""ls city 2026 foton / free morning club / time: Фотон: городской летний лагерь — 09:45-11:45."", ""ls city 2026 foton / discounts / former student same brand: Фотон: городской летний лагерь — 5% Фотон → Фотон.""]",[],[],False,True,question,commercial,theme:026_camp_general,0.9,0.92,"[""theme:001_pricing""]",medium,draft_for_manager,"Здравствуйте! По летнему лагерю Фотона: предварительно городская смена в Москве указана на 3–14 августа. Актуальную стоимость, наличие мест и список доступных смен сейчас лучше уточнить у менеджера, чтобы дать вам точную информацию.","[""Проверить актуальные даты и список смен лагеря Фотона"", ""Проверить актуальную стоимость и наличие мест"", ""Не указывать цену без свежего подтверждения""]","[""актуальная стоимость лагеря"", ""полный список доступных смен"", ""наличие мест""]","[""facts_fresh=false"", ""client_auto_send_allowed=false"", ""crm_write_allowed=false""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,6,codex,foton_smoke_06,foton,,2,foton_smoke_06:client,2026-05-18T10:01:00+03:00,Налоговый вычет за двоих детей сколько вернут?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / foton: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / foton: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: Фотон: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""intensives 2026 / oge foton / duration weeks: Фотон: интенсивы 2026 — 7."", ""lvsh mendeleevo 2026 / accommodation / meals per day: Фотон: ЛВШ Менделеево — 5."", ""lvsh mendeleevo 2026 / accommodation / air conditioning: Фотон: ЛВШ Менделеево — да.""]","[""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:008_tax_deduction,0.98,0.96,[],medium,draft_for_manager,"Здравствуйте! По налоговому вычету сумма зависит от оплаченной суммы, года оплаты, того, кто оплачивал обучение, и суммы удержанного НДФЛ. Точную сумму возврата лучше считать по документам и подтверждать через налоговую. Пришлите, пожалуйста, данные по оплатам за каждого ребенка, и менеджер подскажет, какие документы можем подготовить со стороны Фотона.","[""Проверить актуальные правила по налоговому вычету перед ответом клиенту."", ""Уточнить год оплаты и кто был плательщиком."", ""Проверить, какие документы Фотон может подготовить по этому клиенту."", ""Не называть точную сумму возврата без расчета по документам и актуальных правил.""]","[""год оплаты"", ""сумма оплаты за каждого ребенка"", ""кто оплачивал обучение"", ""сумма удержанного НДФЛ у плательщика"", ""актуальный комплект документов для вычета"", ""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets"", ""brand_policy""]",True,,
telegram_stage6_kb_eval_v1,7,codex,foton_smoke_07,foton,,2,foton_smoke_07:client,2026-05-18T10:01:00+03:00,"А договор когда пришлёте? Хочу подписать сначала, потом платить.","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / foton: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / foton: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: Фотон: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 7: Фотон: материнский капитал — Договор."", ""intensives 2026 / oge foton / duration weeks: Фотон: интенсивы 2026 — 7."", ""lvsh mendeleevo 2026 / accommodation / meals per day: Фотон: ЛВШ Менделеево — 5.""]","[""schedule.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:011_contract,0.93,0.9,"[""theme:002_payment_method""]",medium,draft_for_manager,"Здравствуйте! Да, понимаю: сначала хотите получить и подписать договор, а уже потом оплачивать. Подскажите, пожалуйста, актуальный email, на который удобно отправить договор. Менеджер проверит данные и сориентирует по сроку отправки.","[""Проверить актуальный порядок отправки договора в Фотоне."", ""Уточнить email клиента и данные, нужные для договора."", ""Не обещать точный срок отправки без проверки актуальных данных.""]","[""актуальный email клиента"", ""данные для договора"", ""точный срок отправки договора"", ""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,8,codex,foton_smoke_08,foton,,2,foton_smoke_08:client,2026-05-18T10:01:00+03:00,Нужна справка об обучении ребёнка — для налоговой. Какую именно? И когда будет?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / foton: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / foton: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: Фотон: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 6: Фотон: материнский капитал — Справка о состоянии лицевого счёта (СФР через Госуслуги)."", ""matkap / client safe text / when asked: Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите ФИО ребёнка и какой курс рассматриваете."", ""intensives 2026 / oge foton / duration weeks: Фотон: интенсивы 2026 — 7.""]","[""schedule.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:008_tax_deduction,0.9,0.94,"[""theme:012_certificates""]",medium,draft_for_manager,"Здравствуйте! Для налоговой по обучению ребёнка подготовим нужные подтверждающие документы, но я сначала уточню актуальный перечень и срок подготовки. Подскажите, пожалуйста, ФИО ребёнка, за какой период нужна справка и на какой email удобнее получить документы.","[""Проверить актуальный перечень документов для налоговой по Фотону"", ""Проверить срок подготовки справки/документов"", ""Проверить данные ученика и период обучения перед ответом"", ""Не обещать точный срок без подтверждения""]","[""documents.current"", ""точный перечень документов для налоговой"", ""актуальный срок подготовки"", ""ФИО ребёнка"", ""период обучения"", ""email для отправки""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,2026-05-19T18:44:06.377815+00:00,
telegram_stage6_kb_eval_v1,9,codex,foton_smoke_09,foton,,2,foton_smoke_09:client,2026-05-18T10:01:00+03:00,Куда платить — по карте или по счёту? И на какое юр.лицо?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""intensives 2026 / oge foton / duration weeks: Фотон: интенсивы 2026 — 7."", ""lvsh mendeleevo 2026 / accommodation / meals per day: Фотон: ЛВШ Менделеево — 5."", ""lvsh mendeleevo 2026 / accommodation / air conditioning: Фотон: ЛВШ Менделеево — да."", ""contacts foton / telegram: Фотон: контакты — @unpkmfti."", ""discounts / loyal customers camps / pct 20: Фотон: скидка — 20%: 5 смен."", ""intensives 2026 / ege intensive / available in foton: Фотон: интенсивы 2026 — нет.""]",[],[],False,True,question,commercial,theme:002_payment_method,0.94,0.96,"[""theme:011_contract""]",medium,draft_for_manager,"Здравствуйте! Уточню по вашей заявке доступный способ оплаты: картой или по счету. Также проверю корректное юрлицо и реквизиты, чтобы вы оплатили правильно. После проверки пришлю подтвержденную ссылку на оплату или счет.","[""Проверить актуальный способ оплаты по заявке клиента."", ""Проверить корректное юрлицо и реквизиты для оплаты."", ""Не отправлять реквизиты без подтверждения свежих данных.""]","[""доступный способ оплаты по заявке"", ""актуальное юрлицо для оплаты"", ""актуальные реквизиты или ссылка на оплату""]","[""Факты по оплате и юрлицу не подтверждены свежими данными."", ""Исторические ответы менеджеров не использовались как источник фактов.""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""active_brand"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,10,codex,foton_smoke_10,foton,,2,foton_smoke_10:client,2026-05-18T10:01:00+03:00,Когда онлайн-занятия — по субботам или по воскресеньям? У нас музыкалка по сб.,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""individual lessons foton / format: Фотон: индивидуальные занятия — Только онлайн, 1-на-1."", ""intensives 2026 / oge foton / format: Фотон: интенсивы 2026 — онлайн, 2 занятия/нед после 18:00."", ""online platform / recording: Фотон: онлайн-платформа, онлайн — да."", ""online platform / levels / 1: Фотон: онлайн-платформа, онлайн — базовый."", ""online platform / levels / 2: Фотон: онлайн-платформа, онлайн — продвинутый."", ""online platform / levels / 3: Фотон: онлайн-платформа, онлайн — олимпиадный.""]","[""schedule.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}]",False,True,question,organizational,theme:013_schedule,0.9,0.95,"[""theme:014_format""]",medium,draft_for_manager,"Здравствуйте! У нас есть разные онлайн-группы, поэтому лучше уточнить актуальные варианты по расписанию. Подскажите, пожалуйста, для какого класса или курса подбираете занятия и какое время в воскресенье вам было бы удобно? Проверим доступные группы и сориентируем.","[""Проверить актуальное расписание онлайн-групп Фотона."", ""Уточнить класс или курс клиента."", ""Не обещать место в группе до проверки расписания и наличия мест.""]","[""schedule.current"", ""класс или курс ученика"", ""доступные воскресные онлайн-группы""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets"", ""safe_schedule_template""]",True,2026-05-19T18:44:51.033759+00:00,
