relative_path,action,bytes,file_count,reason,trash_path
stable_runtime/canonical_master_20260521_after_mango_update_v1,moved_to_trash,1572388517,2,superseded by canonical_master_20260523_audio_working_store_v1; DB compare matched except audio source path,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/canonical_master_20260521_after_mango_update_v1
stable_runtime/sales_master_export_20260521_after_mango_update_v4_runtime_acceptance,moved_to_trash,245948270,5,superseded by sales_master_export_20260523_audio_working_store_v1; key CSVs have identical content hashes,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/sales_master_export_20260521_after_mango_update_v4_runtime_acceptance
product_data/canonical_audio_store_20260516_v1,moved_to_trash,366267929,23,old audio-store metadata/projection; actual audio already moved to the 20260523 working store and old audio dir was moved to Trash,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/product_data/canonical_audio_store_20260516_v1
stable_runtime/ra_pending_mango_api_20260517_v1,moved_to_trash,44873225,2730,old pending R+A layer; current runtime has missing ASR/R+A = 0,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/ra_pending_mango_api_20260517_v1
stable_runtime/history_remaining_excl_done_20260407,moved_to_trash,89433276,14,historical remaining-history layer; no current runtime dependency,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/history_remaining_excl_done_20260407
stable_runtime/start_remaining_history_resolve4.sh,moved_to_trash,1952,1,legacy launcher that points to removed history_remaining_excl_done_20260407,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/stable_runtime/start_remaining_history_resolve4.sh
АКТУАЛЬНО_AI_review.xlsx,moved_to_trash,4792,1,"stale root Excel; empty technical sheet, replaced by current runtime artifacts",/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_AI_review.xlsx
АКТУАЛЬНО_AMO_ready.xlsx,moved_to_trash,2675024,1,stale root AMO Excel; write_amo_ready_contacts now defaults to active CANONICAL_EXPORT CSV,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_AMO_ready.xlsx
АКТУАЛЬНО_Tallanto_match_issues.xlsx,moved_to_trash,1577317,1,stale root Tallanto issue export; current contact/review data is in active 20260523 export,/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_Tallanto_match_issues.xlsx
АКТУАЛЬНО_Звонки_общая_таблица.xlsx,moved_to_trash,9671394,1,"stale root calls Excel; replaced by active master_calls_ru.csv with 65,939 actionable rows",/Users/dmitrijfabarisov/.Trash/MangoAnalyse_runtime_cleanup_batch3_20260522T233839Z/АКТУАЛЬНО_Звонки_общая_таблица.xlsx
