schema_version,run_index,provider_mode,dialog_id,active_brand,priority_note,message_count,target_message_id,target_date,current_client_message,previous_context,snapshot_run_id,selected_chunk_count,manager_patterns_count,knowledge_snippets,required_fact_keys,freshness_blocks,facts_fresh,used_kb_context,message_type,broad_group,topic_id,confidence_theme,confidence_group,alternative_themes,risk_level,route,draft_text,manager_checklist,missing_facts,context_warnings,safety_flags,forbidden_promises_detected,context_used,manager_followup_required,manager_followup_deadline,error
telegram_stage6_kb_eval_v1,1,fake,unpk_smoke_01,unpk,,2,unpk_smoke_01:client,2026-05-18T10:01:00+03:00,Здравствуйте. Сколько стоит подготовка к ЕГЭ для 11 класса очно в МФТИ на следующий год?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""prices regular 2026 27 / offline 1 4 class / before 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, до 01.07.2026, год — 51 700 ₽."", ""prices regular 2026 27 / offline 5 11 class / before 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, год — 82 000 ₽."", ""prices regular 2026 27 / offline 1 4 class / after 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, после 01.07.2026, год — 59 900 ₽."", ""prices regular 2026 27 / offline 1 4 class / before 2026 07 01 / semester: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, до 01.07.2026, семестр — 31 000 ₽."", ""prices regular 2026 27 / offline 5 11 class / after 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, год — 82 000 ₽."", ""prices regular 2026 27 / offline 1 4 class / after 2026 07 01 / four weeks: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, после 01.07.2026, 4 недели — 7 900.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""prices.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,2,fake,unpk_smoke_02,unpk,,2,unpk_smoke_02:client,2026-05-18T10:01:00+03:00,У меня трое детей. Какая скидка?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽."", ""intensives 2026 / ege unpk / prices / two subjects: УНПК: интенсивы 2026, два предмета — 34 400 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""prices.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,3,fake,unpk_smoke_03,unpk,,2,unpk_smoke_03:client,2026-05-18T10:01:00+03:00,"Можно ли оплатить курс в рассрочку через банк, как обычно?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽."", ""intensives 2026 / ege unpk / prices / two subjects: УНПК: интенсивы 2026, два предмета — 34 400 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:001_pricing,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""prices.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,4,fake,unpk_smoke_04,unpk,,2,unpk_smoke_04:client,2026-05-18T10:01:00+03:00,Можно ли оплатить материнским капиталом и за сколько дней решается?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽.""]","[""prices.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:001_pricing,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""prices.current"", ""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,5,fake,unpk_smoke_05,unpk,,2,unpk_smoke_05:client,2026-05-18T10:01:00+03:00,"Расскажите про летний лагерь в Менделеево — даты, цены, какие тарифы?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""ls city 2026 unpk / moscow ano / dates: УНПК: городской летний лагерь, Москва, даты — 6-17 июля."", ""ls city 2026 unpk / free morning club / from day: УНПК: городской летний лагерь — 2."", ""ls city 2026 unpk / discounts / already paid 2026 27: УНПК: городской летний лагерь — 10%."", ""ls city 2026 unpk / discounts / multichild: УНПК: городской летний лагерь — 10%."", ""ls city 2026 unpk / free morning club / time: УНПК: городской летний лагерь — 09:45-11:45."", ""ls city 2026 unpk / discounts / former student same brand: УНПК: городской летний лагерь — 5% УНПК → УНПК.""]",[],[],False,True,question,commercial,theme:001_pricing,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]",[],[],"[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,6,fake,unpk_smoke_06,unpk,,2,unpk_smoke_06:client,2026-05-18T10:01:00+03:00,Налоговый вычет вернёт сколько на двоих детей?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%."", ""payment options / available schedules / 3 / year / discount extra: УНПК: скидка — 14%.""]","[""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,7,fake,unpk_smoke_07,unpk,,2,unpk_smoke_07:client,2026-05-18T10:01:00+03:00,Договор где можно посмотреть? Когда подпишем?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 7: УНПК: материнский капитал — Договор."", ""zvsh mendeleevo / client safe text / when asked: Зимняя выездная школа в Менделеево — ждём расписание на новый учебный год. Записаться в лист ожидания можно прямо сейчас — менеджер свяжется, как только откроются продажи."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%.""]","[""schedule.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,education_process,theme:013_schedule,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""schedule.current"", ""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,8,fake,unpk_smoke_08,unpk,,2,unpk_smoke_08:client,2026-05-18T10:01:00+03:00,"Нужна справка, чтобы получить вычет за прошлый год. Как быстро дадите?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 6: УНПК: материнский капитал — Справка о состоянии лицевого счёта (СФР через Госуслуги)."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%.""]","[""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,9,fake,unpk_smoke_09,unpk,,2,unpk_smoke_09:client,2026-05-18T10:01:00+03:00,Платить через ЮКассу или на счёт юр.лицу?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""matkap / required docs / 6: УНПК: материнский капитал — Справка о состоянии лицевого счёта (СФР через Госуслуги)."", ""matkap / client safe text / when asked: Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите ФИО ребёнка и какой курс рассматриваете."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%."", ""payment options / available schedules / 3 / year / discount extra: УНПК: скидка — 14%."", ""intensives 2026 / ege unpk / duration weeks: УНПК: интенсивы 2026 — 8.""]",[],[],False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]",[],[],"[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
telegram_stage6_kb_eval_v1,10,fake,unpk_smoke_10,unpk,,2,unpk_smoke_10:client,2026-05-18T10:01:00+03:00,В какие дни занятия 10 класса на Пацаева — будни или выходные?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""locations unpk / free trial offline / locations / 1: УНПК: адрес и место занятий, очно — Пацаева."", ""intensives 2026 / ege unpk / format: УНПК: интенсивы 2026 — онлайн, 2 занятия/нед."", ""locations unpk / addresses / 2 / address: УНПК: адрес и место занятий — Проспект Пацаева, 7к1."", ""academic year 2026 27 / daily hours: УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч."", ""prices regular 2026 27 / online olympiad phystech 9 and 11 / schedule: УНПК: цены на 2026/27 учебный год, 9 и 11 класс, онлайн, расписание — будни."", ""ls city 2026 unpk / moscow ano / prices / plus individual: УНПК: городской летний лагерь, Москва, вариант с индивидуальными занятиями — 99 500 ₽.""]","[""schedule.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}]",False,True,question,education_process,service:S2_unclear,0.82,0.86,[],unknown,draft_for_manager,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы.","[""Проверить черновик перед отправкой клиенту.""]","[""schedule.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""knowledge_snippets""]",False,,
