brand,fact_type,route_policy,risk_level,client_safe_text,manager_display_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
foton,tax,manager_handoff_only,low,,"Менеджер подготовит справку и пришлёт в течение 10 рабочих дней (постараемся быстрее). Подскажите, какая справка нужна — по требованию (для работы / иное) или для налогового вычета? И ФИО плательщика, ФИО ребёнка, за какой период.","Менеджер подготовит справку и пришлёт в течение 10 рабочих дней (постараемся быстрее). Подскажите, какая справка нужна — по требованию (для работы / иное) или для налогового вычета? И ФИО плательщика, ФИО ребёнка, за какой период. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-08,fact:v3:foton:certificates_client_safe_text_when_asked:18bdfe0fae
foton,course_parameter,manager_handoff_only,low,,Фотон: справки и документы — 10.,"Фотон: справки и документы — 10. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-08,fact:v3:foton:certificates_types_course_attendance_lead_time_days:e908696c9a
foton,program,draft_for_manager,low,,"Фотон: индивидуальные занятия — Только онлайн, 1-на-1.","Фотон: индивидуальные занятия — Только онлайн, 1-на-1. [client_blocked: blocked_status:do_not_use, not_client_allowed_status:do_not_use]",facts_for_bot_FOTON.yaml (Claude layer v3),do_not_use,2027-08-31,2026-06-08,fact:v3:foton:individual_lessons_foton_format:fb00f5200d
foton,program,manager_handoff_only,low,,Фотон: индивидуальные занятия — v6.6: индивидуальные занятия сейчас клиенту не предлагать; цены не актуальны..,"Фотон: индивидуальные занятия — v6.6: индивидуальные занятия сейчас клиенту не предлагать; цены не актуальны.. [client_blocked: blocked_status:do_not_use, internal_only, manager_only_route, not_client_allowed_status:do_not_use]",facts_for_bot_FOTON.yaml (Claude layer v3),do_not_use,2027-08-31,2026-06-08,fact:v3:foton:individual_lessons_foton_note_internal:e7c64ef17c
foton,price,bot_answer_self_for_pilot,low,,"Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.","Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽. [client_blocked: blocked_status:do_not_use, not_client_allowed_status:do_not_use]",facts_for_bot_FOTON.yaml (Claude layer v3),do_not_use,2027-08-31,2026-06-08,fact:v3:foton:individual_lessons_foton_prices_lesson_45min:21e0955d8d
foton,price,bot_answer_self_for_pilot,low,,"Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.","Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽. [client_blocked: blocked_status:do_not_use, not_client_allowed_status:do_not_use]",facts_for_bot_FOTON.yaml (Claude layer v3),do_not_use,2027-08-31,2026-06-08,fact:v3:foton:individual_lessons_foton_prices_package_5_sessions:47b4347346
foton,price,bot_answer_self_for_pilot,low,,"Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.","Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽. [client_blocked: blocked_status:do_not_use, not_client_allowed_status:do_not_use]",facts_for_bot_FOTON.yaml (Claude layer v3),do_not_use,2027-08-31,2026-06-08,fact:v3:foton:individual_lessons_foton_prices_session_90min:ffd54df146
foton,installment,manager_handoff_only,medium,,"Фотон: рассрочка и оплата — Не использовать старые разные условия по типам продукта; клиенту говорить единое подтверждённое правило: 6, 10 или 12 месяцев и Долями для продуктов Фотона..","Фотон: рассрочка и оплата — Не использовать старые разные условия по типам продукта; клиенту говорить единое подтверждённое правило: 6, 10 или 12 месяцев и Долями для продуктов Фотона.. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-08,fact:v3:foton:installment_client_confirmed_terms_bot_must_not_say_note_internal:2d5155698d
foton,installment,manager_handoff_only,medium,,Фотон: рассрочка и оплата — 2026-05-22: Долями разрешён как вариант оплаты для продуктов Фотона; конкретные условия оформляет менеджер..,"Фотон: рассрочка и оплата — 2026-05-22: Долями разрешён как вариант оплаты для продуктов Фотона; конкретные условия оформляет менеджер.. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-08,fact:v3:foton:installment_services_dolyami_note_internal:a3e86d9467
foton,installment,manager_handoff_only,medium,,Фотон: лимит рассрочки по текущим данным — 500 000.,"Фотон: лимит рассрочки по текущим данным — 500 000. [client_blocked: installment_limit_internal, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-08,fact:v3:foton:installment_services_rassrochka_limit_internal:bba472e3b4
