"candidate_id","channel","brand","style_pattern","safe_use","source_refs","risk"
"mgr_001","calls","unknown","Выяснить цель семьи и ограничение по формату перед рекомендацией.","style_reference_only","calls_paid_proxy","medium"
"mgr_002","calls","unknown","Объяснять тестирование как подбор уровня.","style_reference_only","calls_paid_proxy","medium"
"mgr_003","calls","unknown","Разложить оплату по периодам без давления.","style_reference_only","calls_paid_proxy","high"
"mgr_004","calls","unknown","На возражение по времени предложить альтернативу или следующий созвон.","style_reference_only","calls_paid_proxy","medium"
"mgr_005","calls","unknown","Лагерь вести через класс, направление, тестирование и документы.","needs_rop_approval","calls_paid_proxy","high"
"mgr_006","telegram","unpk","По доступам признать проблему и передать проверку.","manager_draft_only","telegram_history","medium"
"mgr_007","telegram","unpk","По документам дать общую рамку и не подтверждать статус.","manager_draft_only","telegram_history","high"
"mgr_008","telegram","unpk","По программе ответить через класс, предмет и уровень.","style_reference_only","telegram_history","medium"
"mgr_009","email","unknown","В письме отвечать именно на последний входящий вопрос.","future_email_candidate","email_audit","high"
"mgr_010","email","unknown","Служебное письмо не превращать в клиентский ответ.","bot_rule_candidate","email_audit","medium"
"mgr_011","cross_channel","unknown","Задавать один следующий вопрос, а не анкету.","style_reference_only","pilot_feedback_tz","medium"
"mgr_012","cross_channel","unknown","P0-тему передавать ответственно без признания вины.","manager_only","semantic_rules","high"
