"reject_id","brand","candidate","reason","source_refs","safe_next_action"
"reject_001","foton","срок рассрочки как дата","смысловая ошибка в current KB","current_kb_review","ручная правка KB"
"reject_002","foton","early booking sentinel как цена","техническое значение в client-safe тексте","current_kb_review","заменить утвержденной формулировкой"
"reject_003","unpk","early booking sentinel как цена","техническое значение в client-safe тексте","current_kb_review","заменить утвержденной формулировкой"
"reject_004","foton","полностью бесплатно без объекта","может звучать как бесплатный лагерь","current_kb_review","переформулировать"
"reject_005","unpk","бесплатно без объекта по ЛВШ/Москве","может звучать как бесплатная смена","current_kb_review","уточнить объект"
"reject_006","unpk","пробная неделя бесплатно","конфликт с gold-запретом","current_kb_review","manager_only до решения"
"reject_007","unpk","waiting-list autonomy","лист ожидания звучит как гарантированное действие","current_kb_review","route draft/manager"
"reject_008","cross_brand_risk","историческая цена из звонка","устаревший факт","calls","не импортировать"
"reject_009","cross_brand_risk","историческая скидка из сообщения","нет fresh approval","telegram;email","не импортировать"
"reject_010","cross_brand_risk","наличие мест из старого ответа","динамический факт","telegram;calls","только fresh source"
"reject_011","unknown","email draft без thread layer","риск ответа не на то письмо","email_audit","blocked"
"reject_012","unknown","OCR-факт как client-safe","OCR не primary source","attachments","evidence only"
"reject_013","cross_brand_risk","дословный ответ менеджера","шаблонность и риск ПДн/устаревших условий","all_channels","style-only"
"reject_014","cross_brand_risk","autonomy из historical candidate","нет approval","all_channels","candidate only"
