priority,approval_item_id,item_type,topic,fact_id_ref,brand,product,manager_text,suggested_decision,rop_question,source_id,linked_open_question,risk_notes
P0,approve:fact_v3_foton_individual_lessons_foton_prices_lesson_45min_21e0955d8d,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_lesson_45min:21e0955d8d,foton,individual_lessons,"Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_package_5_sessions_47b4347346,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_package_5_sessions:47b4347346,foton,individual_lessons,"Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_session_90min_ffd54df146,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_session_90min:ffd54df146,foton,individual_lessons,"Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_one_block_751faebb8e,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_one_block:751faebb8e,foton,intensives_2026,"Фотон: интенсивы 2026, после 07.04.2026, один блок — 11 490 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, после 07.04.2026, один блок — 11 490 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_one_subject_72e7f517dd,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_one_subject:72e7f517dd,foton,intensives_2026,"Фотон: интенсивы 2026, после 07.04.2026, один предмет — 19 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, после 07.04.2026, один предмет — 19 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_two_subjects_42578fde75,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_two_subjects:42578fde75,foton,intensives_2026,"Фотон: интенсивы 2026, после 07.04.2026, два предмета — 32 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, после 07.04.2026, два предмета — 32 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_before_2026_04_07_one_block_0bea513e12,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_before_2026_04_07_one_block:0bea513e12,foton,intensives_2026,"Фотон: интенсивы 2026, до 07.04.2026, один блок — 9 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, до 07.04.2026, один блок — 9 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_before_2026_04_07_one_subject_3d34f8336c,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_before_2026_04_07_one_subject:3d34f8336c,foton,intensives_2026,"Фотон: интенсивы 2026, до 07.04.2026, один предмет — 16 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, до 07.04.2026, один предмет — 16 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_before_2026_04_07_two_subjects_75b51c5f35,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_before_2026_04_07_two_subjects:75b51c5f35,foton,intensives_2026,"Фотон: интенсивы 2026, до 07.04.2026, два предмета — 27 720 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, intensives 2026? Факт: Фотон: интенсивы 2026, до 07.04.2026, два предмета — 27 720 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_base_007eac865b,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_base:007eac865b,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, базовый вариант — 34 300 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, базовый вариант — 34 300 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
