brand,fact_type,route_policy,risk_level,client_safe_text,manager_display_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
foton,contact,draft_for_manager,low,,Фотон: контакты — @unpkmfti.,"Фотон: контакты — @unpkmfti. [client_blocked: cross_brand_text, other_brand_term:@unpkmfti, other_brand_term:unpkmfti, unconfirmed_foton_contact]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:contacts_foton_telegram:aa6e6f2a5b
foton,contact,draft_for_manager,low,,Фотон: контакты — vk.com/kmipt edu.,"Фотон: контакты — vk.com/kmipt edu. [client_blocked: cross_brand_text, unconfirmed_foton_contact]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:contacts_foton_vk:2749cf8b84
foton,program,manager_handoff_only,low,,Фотон: индивидуальные занятия — В источнике также упоминался пакет до 39 000 — уточнить полный прайс у бухгалтерии..,"Фотон: индивидуальные занятия — В источнике также упоминался пакет до 39 000 — уточнить полный прайс у бухгалтерии.. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-18,fact:v3:foton:individual_lessons_foton_note_internal:32e7647c72
foton,installment,manager_handoff_only,medium,,Фотон: рассрочка и оплата — Бот не озвучивает конкретные условия — только сообщает что рассрочка есть и менеджер свяжется.,"Фотон: рассрочка и оплата — Бот не озвучивает конкретные условия — только сообщает что рассрочка есть и менеджер свяжется. [client_blocked: individual_bank_terms, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-18,fact:v3:foton:installment_services_rassrochka_6_12_months_bot_behavior:6debd8daaf
foton,installment,manager_handoff_only,medium,,Фотон: рассрочка и оплата — Условия индивидуальные и зависят от банка → бот направляет вопрос менеджеру.,"Фотон: рассрочка и оплата — Условия индивидуальные и зависят от банка → бот направляет вопрос менеджеру. [client_blocked: individual_bank_terms, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-18,fact:v3:foton:installment_services_rassrochka_6_12_months_note_internal:7906e043f3
foton,installment,manager_handoff_only,medium,,Фотон: рассрочка и оплата — 6.,"Фотон: рассрочка и оплата — 6. [client_blocked: individual_bank_terms, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-18,fact:v3:foton:installment_services_rassrochka_6_12_months_terms_months_options_1:96b967a6e5
foton,installment,manager_handoff_only,medium,,Фотон: рассрочка и оплата — 12.,"Фотон: рассрочка и оплата — 12. [client_blocked: individual_bank_terms, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-18,fact:v3:foton:installment_services_rassrochka_6_12_months_terms_months_options_2:d8f470ec54
foton,installment,manager_handoff_only,medium,,"Рассрочка на 6 и 12 месяцев есть, но условия индивидуальны, зависят от банка и могут менять стоимость курса; вопрос передаётся менеджеру.","Рассрочка на 6 и 12 месяцев есть, но условия индивидуальны, зависят от банка и могут менять стоимость курса; вопрос передаётся менеджеру.",CHANGELOG_v3_after_team_answers.md (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:team_answers_q9_installment_6_12_manager_only:ea88c00ae0
foton,intensive,manager_handoff_only,low,,"Фотон: интенсивы 2026 — Годовые ЕГЭ-курсы у Фотона есть (например, ЕГЭ по русскому), но это не интенсив..","Фотон: интенсивы 2026 — Годовые ЕГЭ-курсы у Фотона есть (например, ЕГЭ по русскому), но это не интенсив.. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:intensives_2026_ege_intensive_note_internal:610b1566b2
foton,intensive,manager_handoff_only,low,,"Фотон: интенсивы 2026, название — Редичкина.","Фотон: интенсивы 2026, название — Редичкина. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:intensives_2026_oge_foton_teachers_1_name:06ba7a4e26
foton,intensive,manager_handoff_only,low,,"Фотон: интенсивы 2026, название — Петрунина.","Фотон: интенсивы 2026, название — Петрунина. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:intensives_2026_oge_foton_teachers_2_name:fadc029c68
foton,documents,manager_handoff_only,medium,,"Фотон: 1 , name, название — ООО «ЦДПО Фотон».","Фотон: 1 , name, название — ООО «ЦДПО Фотон». [client_blocked: global_forbidden:ООО «ЦДПО, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_name:f04226acc5
foton,documents,manager_handoff_only,medium,,"Фотон: receipt , over 18 — Квитанция с НДС 5%.","Фотон: receipt , over 18 — Квитанция с НДС 5%. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_receipt_over_18:553b6125bd
foton,documents,manager_handoff_only,medium,,"Фотон: receipt , under 18 — QR + Квитанция без НДС.","Фотон: receipt , under 18 — QR + Квитанция без НДС. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_receipt_under_18:5cd3acfc00
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 1 — Курсы Фотон Москва (Сретенка/Скорняжный).","Фотон: used for , 1 — Курсы Фотон Москва (Сретенка/Скорняжный). [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_used_for_1:dd1a89ec9d
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 2 — Онлайн Фотон.","Фотон: used for , 2 — Онлайн Фотон. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_used_for_2:73957eb60f
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 3 — ЛШ городская Москва Фотон 3-14 августа.","Фотон: used for , 3 — ЛШ городская Москва Фотон 3-14 августа. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_used_for_3:1ceea98434
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 4 — Рассрочка Т-Банк.","Фотон: used for , 4 — Рассрочка Т-Банк. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_1_used_for_4:98ee3e1642
foton,documents,manager_handoff_only,medium,,"Фотон: 2 , name, название — ООО «ЦРДО Фотон».","Фотон: 2 , name, название — ООО «ЦРДО Фотон». [client_blocked: global_forbidden:ООО «ЦРДО, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_2_name:5f4bcd74a0
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 1 — Альтернативное юр. лицо Фотон.","Фотон: used for , 1 — Альтернативное юр. лицо Фотон. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_entities_2_used_for_1:58dca19cdb
foton,documents,manager_handoff_only,medium,,"Фотон: 3 , name, название — ООО «ЦДПО Фотон».","Фотон: 3 , name, название — ООО «ЦДПО Фотон». [client_blocked: global_forbidden:ООО «ЦДПО, internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_name:a879972bc8
foton,documents,manager_handoff_only,medium,,"Фотон: receipt rules , over 18 — Квитанция с НДС 5%.","Фотон: receipt rules , over 18 — Квитанция с НДС 5%. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_receipt_rules_over_18:fafef27e60
foton,documents,manager_handoff_only,medium,,"Фотон: receipt rules , under 18 — QR + Квитанция без НДС.","Фотон: receipt rules , under 18 — QR + Квитанция без НДС. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_receipt_rules_under_18:db64176593
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 1 — Курсы Фотон Москва.","Фотон: used for , 1 — Курсы Фотон Москва. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_used_for_1:1b60c9be3e
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 2 — Онлайн Фотон.","Фотон: used for , 2 — Онлайн Фотон. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_used_for_2:cf24d5f7bf
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 3 — ЛШ городская Москва Фотон.","Фотон: used for , 3 — ЛШ городская Москва Фотон. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_used_for_3:1202a5863c
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 4 — Рассрочка Т-Банк.","Фотон: used for , 4 — Рассрочка Т-Банк. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_3_used_for_4:150928a9a8
foton,documents,manager_handoff_only,medium,,"Фотон: 4 , name, название — ООО «ЦРДО Фотон».","Фотон: 4 , name, название — ООО «ЦРДО Фотон». [client_blocked: global_forbidden:ООО «ЦРДО, internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_4_name:11c50dca59
foton,documents,manager_handoff_only,medium,,"Фотон: used for , 1 — Альтернативное юр. лицо Фотон.","Фотон: used for , 1 — Альтернативное юр. лицо Фотон. [client_blocked: internal_only, manager_only_route]",facts_internal_only.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:legal_entities_full_map_4_used_for_1:9fb5614b90
foton,documents,manager_handoff_only,medium,,"Фотон: ooo cdpo foton , date — 23.11.2018.","Фотон: ooo cdpo foton , date — 23.11.2018. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_date:5fb30fb613
foton,tax,manager_handoff_only,low,,"Фотон: grants , 1 — Социальный налоговый вычет.","Фотон: grants , 1 — Социальный налоговый вычет. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_grants_1:a527455fc6
foton,documents,manager_handoff_only,medium,,"Фотон: grants , 2 — Приём оплаты маткапиталом.","Фотон: grants , 2 — Приём оплаты маткапиталом. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_grants_2:32f7806f20
foton,documents,manager_handoff_only,medium,,"Фотон: grants , 3 — Договоры на платные образовательные услуги.","Фотон: grants , 3 — Договоры на платные образовательные услуги. [client_blocked: internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_grants_3:172744a046
foton,documents,manager_handoff_only,medium,,"Фотон: ooo cdpo foton , holder — ООО «ЦДПО Фотон».","Фотон: ooo cdpo foton , holder — ООО «ЦДПО Фотон». [client_blocked: global_forbidden:ООО «ЦДПО, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_holder:f2b915e675
foton,documents,manager_handoff_only,medium,,"Фотон: ooo cdpo foton , number — №77753 (серия 50Л01 №0009633).","Фотон: ooo cdpo foton , number — №77753 (серия 50Л01 №0009633). [client_blocked: global_forbidden:50Л01, global_forbidden:№77753, internal_only, manager_only_route]",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-18,fact:v3:foton:licenses_ooo_cdpo_foton_number:f43f64246b
