dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,brand_separation_violation,high_risk_route_relaxed,baseline_manager_only_relaxed,baseline_manager_only_preserved,baseline_draft_text,enriched_draft_text
unpk_smoke_01,unpk_smoke_01:client,Здравствуйте. Сколько стоит подготовка к ЕГЭ для 11 класса очно в МФТИ на следующий год?,theme:001_pricing,theme:001_pricing,draft_for_manager,draft_for_manager,True,False,3,17,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню актуальную стоимость очной подготовки к ЕГЭ для 11 класса в УНПК МФТИ на следующий учебный год и сориентирую вас по условиям. Подскажите, пожалуйста, какой предмет вас интересует?"
unpk_smoke_02,unpk_smoke_02:client,У меня трое детей. Какая скидка?,theme:005_discounts,theme:005_discounts,bot_answer_self,draft_for_manager,True,False,3,23,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! В УНПК условия скидки для семьи с несколькими детьми зависят от выбранной программы и текущего набора. Напишите, пожалуйста, какие курсы или классы рассматриваете для каждого ребенка, а мы проверим актуальные условия и подскажем возможный вариант."
unpk_smoke_03,unpk_smoke_03:client,"Можно ли оплатить курс в рассрочку через банк, как обычно?",theme:006_installment,theme:006_installment,bot_answer_self,manager_only,True,True,3,7,True,False,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом."
unpk_smoke_04,unpk_smoke_04:client,Можно ли оплатить материнским капиталом и за сколько дней решается?,theme:007_matkap_payment,theme:007_matkap_payment,bot_answer_self,draft_for_manager,True,False,3,24,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Проверю, можно ли оформить оплату материнским капиталом именно по вашей программе, и уточню актуальный порядок. По срокам тоже сориентирую после проверки: точное количество дней зависит от оформления и подтверждения документов."
unpk_smoke_05,unpk_smoke_05:client,"Расскажите про летний лагерь в Менделеево — даты, цены, какие тарифы?",theme:005_discounts,theme:026_camp_general,draft_for_manager,draft_for_manager,True,False,3,20,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! По летнему лагерю в Менделеево сориентируем по датам, тарифам и стоимости. Я уточню актуальную информацию по сменам, вариантам участия, ценам и наличию мест, чтобы дать вам точный ответ."
unpk_smoke_06,unpk_smoke_06:client,Налоговый вычет вернёт сколько на двоих детей?,theme:008_tax_deduction,theme:008_tax_deduction,bot_answer_self,draft_for_manager,True,False,3,32,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! По налоговому вычету сумма зависит от фактически оплаченного обучения, года оплаты, плательщика и действующих лимитов ФНС. По двум детям точный расчет лучше делать по вашим платежам и документам. Менеджер проверит актуальный порядок по УНПК и подскажет, какие документы можно подготовить для оформления вычета."
unpk_smoke_07,unpk_smoke_07:client,Договор где можно посмотреть? Когда подпишем?,theme:011_contract,theme:011_contract,bot_answer_self,draft_for_manager,True,False,3,24,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Договор можно будет посмотреть после того, как менеджер проверит данные по вашей заявке и направит его на актуальный email. Подскажите, пожалуйста, на какую почту удобно отправить договор? По срокам подписания менеджер дополнительно сориентирует после проверки."
unpk_smoke_08,unpk_smoke_08:client,"Нужна справка, чтобы получить вычет за прошлый год. Как быстро дадите?",theme:008_tax_deduction,theme:008_tax_deduction,bot_answer_self,draft_for_manager,True,False,3,26,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Справку для налогового вычета подготовим через менеджера. Точный срок нужно проверить по актуальным данным, чтобы не сориентировать неверно. Подскажите, пожалуйста, за какой год нужна справка, ФИО ученика и email, на который удобно получить документ."
unpk_smoke_09,unpk_smoke_09:client,Платить через ЮКассу или на счёт юр.лицу?,theme:002_payment_method,theme:002_payment_method,draft_for_manager,draft_for_manager,True,False,3,23,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню актуальный способ оплаты именно для вашего курса и договора, чтобы отправить корректный вариант: ссылку на оплату или счёт/реквизиты для юрлица. Подскажите, пожалуйста, ФИО ребёнка и какой курс оплачиваете."
unpk_smoke_10,unpk_smoke_10:client,В какие дни занятия 10 класса на Пацаева — будни или выходные?,theme:013_schedule,theme:013_schedule,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Уточню актуальное расписание по 10 классу на Пацаева и подскажу, есть ли группы в будни или в выходные. Если вам удобны конкретные дни или время, напишите, пожалуйста, чтобы мы сразу сверили подходящие варианты."
unpk_smoke_11,unpk_smoke_11:client,"Прошу вернуть деньги. Курс не подошёл, ребёнок отказывается ходить.",theme:009_refund,theme:009_refund,manager_only,manager_only,True,False,7,23,True,True,True,False,False,False,False,False,False,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом.","Здравствуйте! Понимаю ситуацию. Чтобы менеджер проверил условия по вашему договору и возможные варианты решения, подскажите, пожалуйста, ФИО ребёнка, курс и номер договора, если он под рукой. После проверки вам сориентируют по дальнейшим шагам."
