question_id,brand,category,client_text,expected_behavior,expected_route,expected_topic_id,source_note,forbidden_in_draft
foton_smoke_01,foton,sales,Сколько стоит онлайн-курс для 9 класса на 2026/2027 учебный год?,"draft_for_manager → цена online_5_11_class до 2026-08-01 (семестр 29 750 ₽ / год от 47 250 ₽), уточнить предмет и раннее бронирование.",draft_for_manager,theme:016_program_content,qa:9bb175e3f73d (47250/29750 5-11 классы),"УНПК, АНО, 41 800, 69 900, kmipt"
foton_smoke_02,foton,sales,"А скидка какая будет, если возьмём математику и физику вместе онлайн?",bot_answer_self → 30% на 2-й предмет онлайн + оговорка «скидки не суммируются».,bot_answer_self,theme:005_discounts,фикстура foton_02 + q8 решение РОПа,"20%, УНПК, «скидки складываются»"
foton_smoke_03,foton,sales,Можно растянуть оплату на год? Не хочу платить всё сразу.,"bot_answer_self → рассрочка Т-Банк до 500 000 ₽, до 36 мес + Долями (4 части).",bot_answer_self,theme:006_installment,qa:04d320033e4b (Т-банк рассрочка),"УНПК, «3/6/10 мес Долями» (ошибочная правка откатана), «в УНПК нет рассрочки»"
foton_smoke_04,foton,sales,"Принимаете ли вы материнский капитал на оплату? Боюсь, что нет лицензии.","bot_answer_self_for_pilot → утверждённая фраза matkap, упомянуть только «федеральный», уточнить ФИО ребёнка и курс.",bot_answer_self,theme:007_matkap_payment,фикстура foton_04 + bot_policy.matkap,"«нельзя», номер лицензии, АНО ДПО, УНПК"
foton_smoke_05,foton,sales,"Расскажите про летний лагерь — даты, цены, какие смены?","draft_for_manager → ЛВШ Менделеево: 20-28 июня и 18-26 июля, main_full 98 000 ₽, направления физмат/ИТ.",draft_for_manager,theme:021_camps,"qa:96dda94d479a (выездные школы 20-28 июня, 18-26 июля)","15-25 августа, 120 000, 89 900, УНПК"
foton_smoke_06,foton,sales,Налоговый вычет за двоих детей сколько вернут?,"bot_answer_self_for_pilot → до 14 300 ₽ на каждого, типовая справка 3 рабочих дня, менеджер пришлёт инструкцию.",bot_answer_self,theme:008_tax_deduction,фикстура foton_05 + bot_policy.tax_deduction,"номер лицензии (70369), 06.03.2013, УНПК, kmipt"
foton_smoke_07,foton,service,"А договор когда пришлёте? Хочу подписать сначала, потом платить.","bot_answer_self_for_pilot → утверждённая фраза theme_11 «в ближайшие дни на email», запросить email.",bot_answer_self,theme:011_contract,bot_policy.approved_phrases_themes_11_12_17.theme_11_contract (РОП 2026-05-17),"«в течение рабочего дня», точная дата, реквизиты юр.лица, УНПК"
foton_smoke_08,foton,service,Нужна справка об обучении ребёнка — для налоговой. Какую именно? И когда будет?,"bot_answer_self_for_pilot → утверждённая фраза theme_12: 10 дней, единая справка, запросить ФИО плательщика, ФИО ребёнка, период. НЕ уточнять тип.",bot_answer_self,theme:008_tax_deduction,bot_policy.theme_12_certificate (РОП решение),"«КНД 1151158», «3 дня», «для налоговой/для работы», уточняющий вопрос про тип справки"
foton_smoke_09,foton,service,Куда платить — по карте или по счёту? И на какое юр.лицо?,draft_for_manager → менеджер пришлёт квитанцию/ссылку. Юр.лицо клиенту НЕ называть.,draft_for_manager,theme:002_payment_method,qa:bb5412bc560a (квитанции по юр.лицам — internal),"«ЦДПО Фотон», «ЦРДО Фотон», ИНН, ОГРН, АНО, УНПК"
foton_smoke_10,foton,service,Когда онлайн-занятия — по субботам или по воскресеньям? У нас музыкалка по сб.,"draft_for_manager → день можно выбрать (сб или вс), менеджер согласует с расписанием группы.",draft_for_manager,theme:013_schedule,qa:9bb175e3f73d («Выбрать день обучения (сб или вс)»),"точное время чужой группы, имя преподавателя, УНПК-расписание (будни Пацаева)"
