test_id,brand,category,subcategory,client_message,actual_route,failure_class,issue_ru,needs_dmitry_answer,what_to_check,my_comment,draft_text
price_foton_01,foton,pricing,regular_courses,Сколько стоит онлайн-курс для 9 класса на 2026/2027?,draft_for_manager,template_too_generic,"Ответ безопасный, но слишком общий и мало помогает менеджеру/клиенту.",нет,"Можно улучшить шаблон без новых фактов, если текущая формулировка кажется слишком слабой.","Риск низкий, но польза ограничена: ответ не раскрывает то, что клиент реально спросил.",Онлайн-обучение в Фотоне: есть варианты оплаты за семестр и за год. Менеджер подскажет актуальную стоимость под ваш класс и курс.
price_foton_02,foton,pricing,regular_courses,Какая цена очного курса 7 класс физика?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Передам вопрос менеджеру: он проверит актуальную стоимость на нужный период и свяжется с вами.
price_foton_03,foton,pricing,regular_courses,Сколько за весь учебный год?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! В Фотоне по очному обучению для 5-11 классов при раннем бронировании до 1 июля 2026 стоимость за учебный год — 74 500 ₽. Чтобы проверить точную стоимость именно для вашего случая, подскажите, пожалуйста, класс ребенка, предмет и формат обучения: онлайн или очно."
price_foton_04,foton,pricing,early_booking,Что за раннее бронирование?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Раннее бронирование в Фотоне — это специальные условия для действующих учеников при записи на следующий учебный год заранее. По онлайн-направлению 5–11 классов на 2026/27 год в базе указаны условия: запись до 1 мая, оплата до 15 мая 2026, семестр — 29 750 ₽, год — 47 250 ₽. Сейчас лучше уточню по вашему классу и формату, можно ли применить эти условия именно в вашем случае."
price_foton_07,foton,pricing,4_weeks,А за месяц можно курс попробовать?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Да, можно рассмотреть вариант на 4 недели, чтобы попробовать обучение. Перед отправкой я проверю актуальную стоимость и наличие мест в подходящей группе. Подскажите, пожалуйста, класс ученика и интересующее направление?"
price_foton_08,foton,pricing,intensive_oge,Сколько стоит интенсив ОГЭ для 9 класса?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет актуальную программу.
price_foton_09,foton,pricing,individual,А индивидуально можно онлайн?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.",Менеджер свяжется и подскажет варианты индивидуальных занятий.
price_foton_10,foton,pricing,after_deadline,А если оплатить в августе уже?,draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Если планируете оплату в августе, лучше отдельно проверить условия по вашей программе и группе: актуальную стоимость, наличие места и возможный срок оплаты. Менеджер сориентирует по вариантам именно для вашего случая."
discount_foton_04,foton,discount,refer_friend,Бонус за приглашённого друга есть?,manager_only,route_too_strict,"Бот слишком осторожен: уводит к менеджеру там, где, возможно, можно дать черновик или справочный ответ.",да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.","Сейчас бот осторожничает. Для пилота это безопасно, но снижает пользу: Настя чаще получает общий handoff вместо готового черновика.","Здравствуйте! Да, в Фотоне есть бонус за приглашённого друга: кэшбек 10 000 ₽. Условия зависят от формата: для очного обучения — после того, как друг посетит 5 занятий, для онлайн — после оплаты и прохождения семестра. Напишите, пожалуйста, какой у вас формат обучения, и я проверю применимость бонуса к вашему случаю."
discount_foton_05,foton,discount,active_to_camp,"Я давно учусь у вас, на лагерь будет скидка?",draft_for_manager,missing_fact,Не хватает подтверждённого факта в базе знаний.,да,"Нужно решение Дмитрия/РОПа: подтвердить факт, маршрут или разрешение боту отвечать.",Это не обязательно ошибка бота. Чаще всего база знаний пока не содержит точного подтверждённого ответа по этой теме.,"Здравствуйте! Скидки на лагерь зависят от действующих условий и вашей ситуации как ученика. Я проверю, какая скидка может применяться именно к вам, и вернусь с подтверждением."
