dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,brand_separation_violation,high_risk_route_relaxed,baseline_manager_only_relaxed,baseline_manager_only_preserved,baseline_draft_text,enriched_draft_text
foton_smoke_01,foton_smoke_01:client,Сколько стоит онлайн-курс для 9 класса на 2026/2027 учебный год?,theme:016_program_content,theme:016_program,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_02,foton_smoke_02:client,"А скидка какая будет, если возьмём математику и физику вместе онлайн?",theme:005_discounts,service:S2_unclear,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_03,foton_smoke_03:client,Можно растянуть оплату на год? Не хочу платить всё сразу.,theme:006_installment,theme:001_pricing,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_04,foton_smoke_04:client,"Принимаете ли вы материнский капитал на оплату? Боюсь, что нет лицензии.",theme:007_matkap_payment,theme:001_pricing,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_05,foton_smoke_05:client,"Расскажите про летний лагерь — даты, цены, какие смены?",theme:021_camps,theme:001_pricing,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_06,foton_smoke_06:client,Налоговый вычет за двоих детей сколько вернут?,theme:008_tax_deduction,service:S2_unclear,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_07,foton_smoke_07:client,"А договор когда пришлёте? Хочу подписать сначала, потом платить.",theme:011_contract,theme:013_schedule,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_08,foton_smoke_08:client,Нужна справка об обучении ребёнка — для налоговой. Какую именно? И когда будет?,theme:008_tax_deduction,theme:013_schedule,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_09,foton_smoke_09:client,Куда платить — по карте или по счёту? И на какое юр.лицо?,theme:002_payment_method,service:S2_unclear,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
foton_smoke_10,foton_smoke_10:client,Когда онлайн-занятия — по субботам или по воскресеньям? У нас музыкалка по сб.,theme:013_schedule,theme:013_schedule,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
