brand,fact_type,route_policy,risk_level,client_safe_text,manager_display_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч.","УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч.","УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_daily_hours:a6e9903c04
unpk,course_parameter,draft_for_manager,low,УНПК: в первом семестре 2026/27 учебного года 20 недель.,УНПК: в первом семестре 2026/27 учебного года 20 недель.,УНПК: в первом семестре 2026/27 учебного года 20 недель.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_semester_1_weeks:3ad9021e33
unpk,course_parameter,draft_for_manager,low,УНПК: во втором семестре 2026/27 учебного года 15 недель.,УНПК: во втором семестре 2026/27 учебного года 15 недель.,УНПК: во втором семестре 2026/27 учебного года 15 недель.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_semester_2_weeks:54d70ef4e2
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.","УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.","УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_start:68812d0d30
unpk,course_parameter,draft_for_manager,low,УНПК: учебный год 2026/27 — 20 сентября 2026.,УНПК: учебный год 2026/27 — 20 сентября 2026.,УНПК: учебный год 2026/27 — 20 сентября 2026.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_start_by_location_mfti_institutsky_9:c9b8640bfb
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.","УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.","УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_start_by_location_moscow:34d08ff66d
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.","УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.","УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_start_by_location_online:dfd01fcc6e
unpk,course_parameter,draft_for_manager,low,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_start_by_location_patsayeva:22eaf98d78
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.","УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.","УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_total_lessons:1b5921ba8a
unpk,course_parameter,draft_for_manager,low,УНПК: в учебном году 2026/27 занятия проходят 1 раз в неделю.,УНПК: в учебном году 2026/27 занятия проходят 1 раз в неделю.,УНПК: в учебном году 2026/27 занятия проходят 1 раз в неделю.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:academic_year_2026_27_weekly_lessons:4fca0a048c
unpk,policy,bot_answer_self_for_pilot,medium,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",brand_rules.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:brand_rules_approved_brand_relationship_answer_unpk:7477839d25
unpk,documents,bot_answer_self_for_pilot,medium,УНПК: справки и документы — Свободная форма.,УНПК: справки и документы — Свободная форма.,УНПК: справки и документы — Свободная форма.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:certificates_types_course_attendance_form:f6e6bbf987
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.","УНПК: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.","УНПК: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_already_paid_2026_27:c110ae8db2
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.","УНПК: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.","УНПК: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_former_student_same_brand:4a858e388b
unpk,discount,bot_answer_self_for_pilot,low,УНПК: для городского летнего лагеря действует скидка 10% для сотрудников МФТИ.,УНПК: для городского летнего лагеря действует скидка 10% для сотрудников МФТИ.,УНПК: для городского летнего лагеря действует скидка 10% для сотрудников МФТИ.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_mfti_employees:d06ee2680d
unpk,discount,bot_answer_self_for_pilot,low,УНПК: для городского летнего лагеря действует скидка 10% для многодетных семей.,УНПК: для городского летнего лагеря действует скидка 10% для многодетных семей.,УНПК: для городского летнего лагеря действует скидка 10% для многодетных семей.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_multichild:693e386ee1
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: для городского летнего лагеря по программе «приведи друга», расширенный тариф, кэшбэк 5 000 ₽; условие: после завершения смены другом.","УНПК: для городского летнего лагеря по программе «приведи друга», расширенный тариф, кэшбэк 5 000 ₽; условие: после завершения смены другом.","УНПК: для городского летнего лагеря по программе «приведи друга», расширенный тариф, кэшбэк 5 000 ₽; условие: после завершения смены другом.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_refer_a_friend_advanced:b2ecc00656
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: для городского летнего лагеря по программе «приведи друга», базовый тариф, кэшбэк 3 000 ₽; условие: после завершения смены другом.","УНПК: для городского летнего лагеря по программе «приведи друга», базовый тариф, кэшбэк 3 000 ₽; условие: после завершения смены другом.","УНПК: для городского летнего лагеря по программе «приведи друга», базовый тариф, кэшбэк 3 000 ₽; условие: после завершения смены другом.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_discounts_refer_a_friend_base:b67abc9517
unpk,camp_city,draft_for_manager,low,"УНПК: городской летний лагерь, Долгопрудный — Долгопрудный, Институтский пер., 9 (Главный корпус МФТИ).","УНПК: городской летний лагерь, Долгопрудный — Долгопрудный, Институтский пер., 9 (Главный корпус МФТИ).","УНПК: городской летний лагерь, Долгопрудный — Долгопрудный, Институтский пер., 9 (Главный корпус МФТИ).",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_location:a2f4979a55
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Долгопрудный, базовый вариант — 37 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, базовый вариант — 37 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, базовый вариант — 37 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_base:c986337fbb
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Долгопрудный, вариант с факультативом — 59 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, вариант с факультативом — 59 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, вариант с факультативом — 59 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_plus_factultative:2b06671e9c
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Долгопрудный, вариант с индивидуальными занятиями — 99 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, вариант с индивидуальными занятиями — 99 500 ₽.","УНПК: городской летний лагерь, Долгопрудный, вариант с индивидуальными занятиями — 99 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_prices_plus_individual:9df1ec1007
unpk,deadline,draft_for_manager,low,"УНПК: городской летний лагерь, Долгопрудный — 20-31 июля.","УНПК: городской летний лагерь, Долгопрудный — 20-31 июля.","УНПК: городской летний лагерь, Долгопрудный — 20-31 июля.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_smeny_1:4e1a2eab58
unpk,deadline,draft_for_manager,low,"УНПК: городской летний лагерь, Долгопрудный — 17-28 августа.","УНПК: городской летний лагерь, Долгопрудный — 17-28 августа.","УНПК: городской летний лагерь, Долгопрудный — 17-28 августа.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_dolgoprudny_smeny_2:7113f325e0
unpk,camp_city,draft_for_manager,low,УНПК: утренний клуб в городском летнем лагере доступен со 2-го дня смены.,УНПК: утренний клуб в городском летнем лагере доступен со 2-го дня смены.,УНПК: утренний клуб в городском летнем лагере доступен со 2-го дня смены.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_free_morning_club_from_day:f8e850c55e
unpk,camp_city,draft_for_manager,low,"УНПК: городской летний лагерь, название — Утренний клуб Предлёнка.","УНПК: городской летний лагерь, название — Утренний клуб Предлёнка.","УНПК: городской летний лагерь, название — Утренний клуб Предлёнка.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_free_morning_club_name:5cd79542d3
unpk,camp_city,draft_for_manager,low,УНПК: городской летний лагерь — 09:45-11:45.,УНПК: городской летний лагерь — 09:45-11:45.,УНПК: городской летний лагерь — 09:45-11:45.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_free_morning_club_time:decd807aa5
unpk,camp_city,draft_for_manager,low,"УНПК: городской летний лагерь — Обед (первое, второе, салат, булочка) + полдник.","УНПК: городской летний лагерь — Обед (первое, второе, салат, булочка) + полдник.","УНПК: городской летний лагерь — Обед (первое, второе, салат, булочка) + полдник.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_meals:407edd6503
unpk,deadline,draft_for_manager,low,"УНПК: городской летний лагерь, Москва, даты — 6-17 июля.","УНПК: городской летний лагерь, Москва, даты — 6-17 июля.","УНПК: городской летний лагерь, Москва, даты — 6-17 июля.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_moscow_dates:0bdd6cc81e
unpk,camp_city,draft_for_manager,low,"УНПК: городской летний лагерь, Москва — Москва, Верхняя Красносельская ул., 30.","УНПК: городской летний лагерь, Москва — Москва, Верхняя Красносельская ул., 30.","УНПК: городской летний лагерь, Москва — Москва, Верхняя Красносельская ул., 30.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_moscow_location:bc805fe13d
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Москва, базовый вариант — 37 500 ₽.","УНПК: городской летний лагерь, Москва, базовый вариант — 37 500 ₽.","УНПК: городской летний лагерь, Москва, базовый вариант — 37 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_moscow_prices_base:258f0c65d3
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Москва, вариант с факультативом — 59 500 ₽.","УНПК: городской летний лагерь, Москва, вариант с факультативом — 59 500 ₽.","УНПК: городской летний лагерь, Москва, вариант с факультативом — 59 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_moscow_prices_plus_factultative:ec605c4657
unpk,price,bot_answer_self_for_pilot,low,"УНПК: городской летний лагерь, Москва, вариант с индивидуальными занятиями — 99 500 ₽.","УНПК: городской летний лагерь, Москва, вариант с индивидуальными занятиями — 99 500 ₽.","УНПК: городской летний лагерь, Москва, вариант с индивидуальными занятиями — 99 500 ₽.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_moscow_prices_plus_individual:c67fb25139
unpk,camp_city,draft_for_manager,low,УНПК: городской летний лагерь — ЛВШ выездная — другой продукт.,УНПК: городской летний лагерь — ЛВШ выездная — другой продукт.,УНПК: городской летний лагерь — ЛВШ выездная — другой продукт.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_not_to_confuse_with:9338e4359e
unpk,camp_city,draft_for_manager,low,УНПК: городской летний лагерь — нет.,УНПК: городской летний лагерь — нет.,УНПК: городской летний лагерь — нет.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-08-31,2026-05-20,fact:v3:unpk:ls_city_2026_unpk_patsayeva_available:067e4e4094
unpk,contact,draft_for_manager,low,УНПК: контакты — edu@kmipt.ru.,УНПК: контакты — edu@kmipt.ru.,УНПК: контакты — edu@kmipt.ru.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_email:718d885c77
unpk,contact,draft_for_manager,low,УНПК: контакты — +7 (495) 150-81-51.,УНПК: контакты — +7 (495) 150-81-51.,УНПК: контакты — +7 (495) 150-81-51.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_phone:13999567b6
unpk,course_parameter,draft_for_manager,low,"УНПК: контакты, расписание — Пн-Вс 10:00-18:00.","УНПК: контакты, расписание — Пн-Вс 10:00-18:00.","УНПК: контакты, расписание — Пн-Вс 10:00-18:00.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_schedule:b15e702f9a
unpk,contact,draft_for_manager,low,УНПК: контакты — @unpk_mipt.,УНПК: контакты — @unpk_mipt.,УНПК: контакты — @unpk_mipt.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_telegram:eb9ebca792
unpk,contact,draft_for_manager,low,УНПК: контакты — 8 (800) 500-81-51.,УНПК: контакты — 8 (800) 500-81-51.,УНПК: контакты — 8 (800) 500-81-51.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_toll_free:b286b76e62
unpk,contact,draft_for_manager,low,УНПК: контакты — kmipt.ru.,УНПК: контакты — kmipt.ru.,УНПК: контакты — kmipt.ru.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-05-20,fact:v3:unpk:contacts_unpk_website:4df75b17bf
unpk,discount,bot_answer_self_for_pilot,low,УНПК: для действующих учеников этого учебного центра доступна скидка действующим ученикам курсов УНПК при покупке любого летнего лагеря (выездного или городского) на любой летний лагерь.,УНПК: для действующих учеников этого учебного центра доступна скидка действующим ученикам курсов УНПК при покупке любого летнего лагеря (выездного или городского) на любой летний лагерь.,УНПК: для действующих учеников этого учебного центра доступна скидка действующим ученикам курсов УНПК при покупке любого летнего лагеря (выездного или городского) на любой летний лагерь.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:discounts_active_student_to_summer_camp_condition_client_text:d55bd03e52
unpk,discount,bot_answer_self_for_pilot,low,УНПК: для действующих учеников этого учебного центра доступна скидка 7% на любой летний лагерь.,УНПК: для действующих учеников этого учебного центра доступна скидка 7% на любой летний лагерь.,УНПК: для действующих учеников этого учебного центра доступна скидка 7% на любой летний лагерь.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:discounts_active_student_to_summer_camp_pct:a4b253ea96
unpk,discount,bot_answer_self_for_pilot,low,УНПК: скидка постоянным участникам ЛВШ применяется к продукту «ЛВШ Менделеево».,УНПК: скидка постоянным участникам ЛВШ применяется к продукту «ЛВШ Менделеево».,УНПК: скидка постоянным участникам ЛВШ применяется к продукту «ЛВШ Менделеево».,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:discounts_loyal_customers_lvsh_only_applies_to_1:917752ce6e
unpk,discount,bot_answer_self_for_pilot,low,"УНПК: скидка постоянным участникам ЛВШ действует при условии: постоянным гостям ЛВШ Менделеево, посетившим смены в предыдущие годы.","УНПК: скидка постоянным участникам ЛВШ действует при условии: постоянным гостям ЛВШ Менделеево, посетившим смены в предыдущие годы.","УНПК: скидка постоянным участникам ЛВШ действует при условии: постоянным гостям ЛВШ Менделеево, посетившим смены в предыдущие годы.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:discounts_loyal_customers_lvsh_only_condition_client_text:03f4740483
unpk,discount,bot_answer_self_for_pilot,low,УНПК: скидка постоянным участникам ЛВШ не применяется к продукту «ЛШ городская».,УНПК: скидка постоянным участникам ЛВШ не применяется к продукту «ЛШ городская».,УНПК: скидка постоянным участникам ЛВШ не применяется к продукту «ЛШ городская».,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-05-20,fact:v3:unpk:discounts_loyal_customers_lvsh_only_not_applies_to_1:0fa3c22152
