priority,approval_item_id,brand,item_type,source_title,manager_text,suggested_decision,rop_question,bot_permission_after_approval,risk_notes
P1,fact:v2:foton:legal_entities:13901ab8f8,foton,program,legal_entities,,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:foton:installment:d7b1127959,foton,price,installment,"{'when_asked': 'У нас есть рассрочка через Т-Банк — до 500 000 ₽, до 36 месяцев. Подписание онлайн за 1-2 минуты по СМС. Также «Долями» — 4 равными частями без процентов (подходит для коротких программ). Подскажите курс — менеджер пришлёт ссылку на оформление.', 'forbidden_to_say': ['в УНПК рассрочки нет', 'у наших партнёров', 'Фотон даёт, а другие нет']}",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:matkap:ba661d907c,foton,matkap,matkap,"{'when_asked': 'Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите ФИО ребёнка и какой курс рассматриваете.', 'when_regional': 'К сожалению, региональный маткапитал не принимаем — только федеральный. Если у вас федеральный — менеджер подскажет порядок оформления.', 'when_timeline': 'Срок рассмотрения в СФР — до 10 рабочих дней, плюс ещё до 5 дней на перевод. Итого до 15 дней.', 'forbidden_to_say': ['через АНО ДПО УНПК', 'оформляется через УНПК', 'у УНПК есть']}",review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:certificates:3fa88406dd,foton,tax,certificates,{'when_asked': 'Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку.'},review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:foton:modular_courses_m9_m11:d0e58141ea,foton,price,modular_courses_m9_m11,audience: 9 и 11 классы — модульная подготовка; open_question: Уточнить полную матрицу: какой тариф для какого класса/предмета.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:foton:lvsh_mendeleevo_2026:6160b8d086,foton,price,lvsh_mendeleevo_2026,"open_question_smeny: Уточнить распределение 4 смен между УНПК и Фотоном. До уточнения — клиенту называются общие параметры смен (даты, статус, цена), но без раскрытия юр.лица.; audience: 5-10 класс",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:legal_entities:13901ab8f8,unpk,program,legal_entities,,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P0,fact:v2:unpk:matkap:25e16b08f0,unpk,matkap,matkap,"{'when_asked': 'Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите ФИО ребёнка и какой курс рассматриваете.', 'when_regional': 'К сожалению, региональный маткапитал не принимаем — только федеральный. Если у вас федеральный — менеджер подскажет порядок оформления.', 'when_timeline': 'Срок рассмотрения в СФР — до 10 рабочих дней, плюс ещё до 5 дней на перевод. Итого до 15 дней.', 'forbidden_to_say': ['АНО ДПО УНПК МФТИ', 'оформляется в другой компании', 'Фотон тоже принимает']}",internal_only,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:certificates:3fa88406dd,unpk,tax,certificates,{'when_asked': 'Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку.'},review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:zvsh_mendeleevo:b07748f18e,unpk,schedule,zvsh_mendeleevo,open_question: Уточнить даты ЗВШ на 26/27 учебный год.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:fiztech_olympiad:1496d908e3,unpk,program,fiztech_olympiad,open_question: Уточнить полные условия.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:unpk:preschool_patsayeva:dce1e417e8,unpk,price,preschool_patsayeva,open_question: Уточнить структуру тарифов.,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:brand:b9e9a7808e,internal,program,brand_rules.yaml,internal,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:forbidden_for_client:1ee690f600,internal,program,forbidden_for_client,True,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:allowed_for_client_answer:353d88bcb9,internal,program,allowed_for_client_answer,,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:usable_in_client_draft:4dd7c11486,internal,program,usable_in_client_draft,,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
P1,fact:v2:internal:usable_in_manager_internal_view:36785d74c1,internal,program,usable_in_manager_internal_view,True,review_before_client_use,Можно ли использовать этот факт в ответе клиенту текущего бренда?,allowed_for_client_answer,Импортировано из Claude layer.
