schema_version,run_index,provider_mode,dialog_id,active_brand,priority_note,message_count,target_message_id,target_date,current_client_message,previous_context,snapshot_run_id,selected_chunk_count,manager_patterns_count,knowledge_snippets,required_fact_keys,freshness_blocks,facts_fresh,used_kb_context,message_type,broad_group,topic_id,confidence_theme,confidence_group,alternative_themes,risk_level,route,draft_text,manager_checklist,missing_facts,context_warnings,safety_flags,forbidden_promises_detected,context_used,manager_followup_required,manager_followup_deadline,error
telegram_stage6_kb_eval_v1,1,codex,unpk_smoke_01,unpk,,2,unpk_smoke_01:client,2026-05-18T10:01:00+03:00,Здравствуйте. Сколько стоит подготовка к ЕГЭ для 11 класса очно в МФТИ на следующий год?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""prices regular 2026 27 / offline 1 4 class / before 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, до 01.07.2026, год — 51 700 ₽."", ""prices regular 2026 27 / offline 5 11 class / before 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 5-11 класс, очно, до 01.07.2026, год — 82 000 ₽."", ""prices regular 2026 27 / offline 1 4 class / after 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, после 01.07.2026, год — 59 900 ₽."", ""prices regular 2026 27 / offline 1 4 class / before 2026 07 01 / semester: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, до 01.07.2026, семестр — 31 000 ₽."", ""prices regular 2026 27 / offline 5 11 class / after 2026 07 01 / year: УНПК: цены на 2026/27 учебный год, 5-11 класс, очно, после 01.07.2026, год — 82 000 ₽."", ""prices regular 2026 27 / offline 1 4 class / after 2026 07 01 / four weeks: УНПК: цены на 2026/27 учебный год, 1-4 класс, очно, после 01.07.2026, 4 недели — 7 900.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:001_pricing,0.96,0.98,[],medium,draft_for_manager,"Здравствуйте! Уточню актуальную стоимость очной подготовки к ЕГЭ для 11 класса в УНПК МФТИ на следующий учебный год и сориентирую вас по условиям. Подскажите, пожалуйста, какой предмет вас интересует?","[""Проверить актуальную стоимость на 2026/27 учебный год именно для очной подготовки к ЕГЭ в 11 классе."", ""Проверить, зависит ли цена от предмета, формата оплаты или даты заключения договора."", ""Не отправлять точную цену без свежего подтверждения.""]","[""актуальная стоимость очной подготовки к ЕГЭ для 11 класса"", ""предмет подготовки"", ""условия оплаты и возможная зависимость цены от даты оплаты""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""facts_context"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,2,codex,unpk_smoke_02,unpk,,2,unpk_smoke_02:client,2026-05-18T10:01:00+03:00,У меня трое детей. Какая скидка?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽."", ""intensives 2026 / ege unpk / prices / two subjects: УНПК: интенсивы 2026, два предмета — 34 400 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:005_discounts,0.95,0.96,"[""theme:001_pricing""]",medium,draft_for_manager,"Здравствуйте! В УНПК условия скидки для семьи с несколькими детьми зависят от выбранной программы и текущего набора. Напишите, пожалуйста, какие курсы или классы рассматриваете для каждого ребенка, а мы проверим актуальные условия и подскажем возможный вариант.","[""Проверить актуальные правила семейной скидки УНПК для трех детей."", ""Уточнить программы или классы для каждого ребенка."", ""Не указывать процент, сумму скидки или итоговую стоимость без свежего подтверждения.""]","[""актуальные условия семейной скидки для трех детей"", ""программы или классы для каждого ребенка"", ""период обучения или набор"", ""правила совмещения скидок и акций""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send"", ""facts_missing"", ""facts_stale""]",[],"[""recent_messages"", ""rop_policy"", ""brand_policy"", ""facts_context""]",True,,
telegram_stage6_kb_eval_v1,3,codex,unpk_smoke_03,unpk,,2,unpk_smoke_03:client,2026-05-18T10:01:00+03:00,"Можно ли оплатить курс в рассрочку через банк, как обычно?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽."", ""intensives 2026 / ege unpk / prices / two subjects: УНПК: интенсивы 2026, два предмета — 34 400 ₽.""]","[""prices.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}]",False,True,question,commercial,theme:006_installment,0.98,0.95,"[""theme:002_payment_method""]",medium,manager_only,"Спасибо за сообщение. Передам вопрос менеджеру, он вернется с проверенным ответом.","[""Проверить, доступна ли банковская рассрочка для конкретного курса УНПК"", ""Проверить актуальные условия рассрочки и порядок оформления"", ""Не обещать одобрение банка или конкретные условия без подтверждения"", ""Проверить бренд клиента: в черновике нельзя смешивать Фотон и УНПК.""]","[""актуальная доступность рассрочки"", ""условия банка-партнера"", ""конкретный курс клиента""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send"", ""cross_brand_client_text_blocked"", ""brand_separation_guarded""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,4,codex,unpk_smoke_04,unpk,,2,unpk_smoke_04:client,2026-05-18T10:01:00+03:00,Можно ли оплатить материнским капиталом и за сколько дней решается?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""lvsh mendeleevo 2026 / pricing 2026 / booking deposit: УНПК: ЛВШ Менделеево — 15 000 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main min: УНПК: ЛВШ Менделеево — 83 800 ₽."", ""lvsh mendeleevo 2026 / pricing 2026 / main full: УНПК: ЛВШ Менделеево — 120 000 ₽."", ""intensives 2026 / ege unpk / prices / one block: УНПК: интенсивы 2026, один блок — 9 400 ₽."", ""intensives 2026 / ege unpk / prices / one subject: УНПК: интенсивы 2026, один предмет — 18 800 ₽.""]","[""prices.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""prices.current"", ""fact_type"": ""price"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not name exact price, discount, or payment deadline without a fresh verified price source.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:007_matkap_payment,0.98,0.95,"[""theme:002_payment_method""]",medium,draft_for_manager,"Здравствуйте! Проверю, можно ли оформить оплату материнским капиталом именно по вашей программе, и уточню актуальный порядок. По срокам тоже сориентирую после проверки: точное количество дней зависит от оформления и подтверждения документов.","[""Проверить, доступна ли оплата материнским капиталом для выбранной программы УНПК."", ""Уточнить актуальный порядок оформления и список документов."", ""Не указывать точный срок решения без подтвержденного свежего факта.""]","[""актуальная возможность оплаты материнским капиталом по программе"", ""актуальный порядок оформления"", ""точный срок рассмотрения или подтверждения""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,5,codex,unpk_smoke_05,unpk,,2,unpk_smoke_05:client,2026-05-18T10:01:00+03:00,"Расскажите про летний лагерь в Менделеево — даты, цены, какие тарифы?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""ls city 2026 unpk / moscow ano / dates: УНПК: городской летний лагерь, Москва, даты — 6-17 июля."", ""ls city 2026 unpk / free morning club / from day: УНПК: городской летний лагерь — 2."", ""ls city 2026 unpk / discounts / already paid 2026 27: УНПК: городской летний лагерь — 10%."", ""ls city 2026 unpk / discounts / multichild: УНПК: городской летний лагерь — 10%."", ""ls city 2026 unpk / free morning club / time: УНПК: городской летний лагерь — 09:45-11:45."", ""ls city 2026 unpk / discounts / former student same brand: УНПК: городской летний лагерь — 5% УНПК → УНПК.""]",[],[],False,True,question,commercial,theme:026_camp_general,0.86,0.92,"[""theme:001_pricing"", ""theme:013_schedule""]",medium,draft_for_manager,"Здравствуйте! По летнему лагерю в Менделеево сориентируем по датам, тарифам и стоимости. Я уточню актуальную информацию по сменам, вариантам участия, ценам и наличию мест, чтобы дать вам точный ответ.","[""Проверить, есть ли у УНПК актуальная программа лагеря в Менделеево."", ""Проверить точные даты смен."", ""Проверить актуальные цены и тарифы."", ""Проверить наличие мест и условия записи."", ""Не использовать данные про городской лагерь в Москве как ответ про Менделеево без подтверждения.""]","[""актуальные даты лагеря в Менделеево"", ""актуальные цены"", ""перечень тарифов"", ""наличие мест"", ""условия записи""]","[""В доступном контексте есть сведения про городской летний лагерь УНПК в Москве, но нет подтвержденных данных про лагерь в"", ""Нельзя давать точные цены, тарифы и даты без проверки свежих фактов.""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""brand_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,6,codex,unpk_smoke_06,unpk,,2,unpk_smoke_06:client,2026-05-18T10:01:00+03:00,Налоговый вычет вернёт сколько на двоих детей?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%."", ""payment options / available schedules / 3 / year / discount extra: УНПК: скидка — 14%.""]","[""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:008_tax_deduction,0.94,0.9,"[""theme:012_certificates""]",medium,draft_for_manager,"Здравствуйте! По налоговому вычету сумма зависит от фактически оплаченного обучения, года оплаты, плательщика и действующих лимитов ФНС. По двум детям точный расчет лучше делать по вашим платежам и документам. Менеджер проверит актуальный порядок по УНПК и подскажет, какие документы можно подготовить для оформления вычета.","[""Проверить актуальные правила и лимиты налогового вычета на год оплаты."", ""Уточнить, кто был плательщиком по договору и за какой период была оплата."", ""Проверить, какие документы УНПК сейчас выдает для налогового вычета."", ""Не обещать точную сумму возврата без расчета по платежам и подтвержденных документов.""]","[""сумма оплаты по каждому ребенку"", ""год оплаты"", ""кто указан плательщиком"", ""актуальные лимиты налогового вычета"", ""перечень документов, которые УНПК сейчас выдает для налоговой""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets"", ""facts_context""]",True,,
telegram_stage6_kb_eval_v1,7,codex,unpk_smoke_07,unpk,,2,unpk_smoke_07:client,2026-05-18T10:01:00+03:00,Договор где можно посмотреть? Когда подпишем?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 7: УНПК: материнский капитал — Договор."", ""zvsh mendeleevo / client safe text / when asked: Зимняя выездная школа в Менделеево — ждём расписание на новый учебный год. Записаться в лист ожидания можно прямо сейчас — менеджер свяжется, как только откроются продажи."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%.""]","[""schedule.current"", ""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}, {""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,commercial,theme:011_contract,0.96,0.93,[],medium,draft_for_manager,"Здравствуйте! Договор можно будет посмотреть после того, как менеджер проверит данные по вашей заявке и направит его на актуальный email. Подскажите, пожалуйста, на какую почту удобно отправить договор? По срокам подписания менеджер дополнительно сориентирует после проверки.","[""Проверить актуальный порядок подготовки и подписания договора по УНПК."", ""Уточнить email клиента для отправки договора."", ""Не обещать точную дату подписания без проверки заявки.""]","[""documents.current"", ""актуальный email клиента"", ""статус подготовки договора по заявке""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,2026-05-19T18:56:49.782110+00:00,
telegram_stage6_kb_eval_v1,8,codex,unpk_smoke_08,unpk,,2,unpk_smoke_08:client,2026-05-18T10:01:00+03:00,"Нужна справка, чтобы получить вычет за прошлый год. Как быстро дадите?","2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""bot policy / approved phrases / theme 11 contract / unpk: Договор пришлёт менеджер в ближайшие дни на email. Подскажите email."", ""bot policy / approved phrases / theme 12 certificate / unpk: Менеджер подготовит справку и пришлёт в течение 10 дней, постараемся раньше."", ""licenses / client safe summary: УНПК: licenses , client safe summary — У нас есть лицензия на образовательную деятельность.."", ""matkap / required docs / 6: УНПК: материнский капитал — Справка о состоянии лицевого счёта (СФР через Госуслуги)."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%.""]","[""documents.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""documents.current"", ""fact_type"": ""documents"", ""reason"": ""fact_source_missing"", ""safe_instruction"": ""Do not cite exact document, refund, tax, or legal terms without a fresh verified document source.""}]",False,True,question,documents,theme:008_tax_deduction,0.94,0.96,"[""theme:012_certificates""]",medium,draft_for_manager,"Здравствуйте! Справку для налогового вычета подготовим через менеджера. Точный срок нужно проверить по актуальным данным, чтобы не сориентировать неверно. Подскажите, пожалуйста, за какой год нужна справка, ФИО ученика и email, на который удобно получить документ.","[""Проверить актуальный срок подготовки справки для налогового вычета в УНПК."", ""Проверить, какие данные нужны для подготовки справки."", ""Не обещать срок без подтверждения свежих правил.""]","[""актуальный срок подготовки справки для налогового вычета"", ""точный список данных для оформления справки"", ""documents.current""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,9,codex,unpk_smoke_09,unpk,,2,unpk_smoke_09:client,2026-05-18T10:01:00+03:00,Платить через ЮКассу или на счёт юр.лицу?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""matkap / required docs / 6: УНПК: материнский капитал — Справка о состоянии лицевого счёта (СФР через Госуслуги)."", ""matkap / client safe text / when asked: Да, оплата материнским капиталом возможна. Работаем с федеральным маткапиталом. Менеджер пришлёт перечень документов и поможет с оформлением через СФР. Подскажите ФИО ребёнка и какой курс рассматриваете."", ""payment options / available schedules / 1 / monthly / discount extra: УНПК: скидка — 0%."", ""payment options / available schedules / 2 / semester / discount extra: УНПК: скидка — 10%."", ""payment options / available schedules / 3 / year / discount extra: УНПК: скидка — 14%."", ""intensives 2026 / ege unpk / duration weeks: УНПК: интенсивы 2026 — 8.""]",[],[],False,True,question,commercial,theme:002_payment_method,0.96,0.95,[],medium,draft_for_manager,"Здравствуйте! Уточню актуальный способ оплаты именно для вашего курса и договора, чтобы отправить корректный вариант: ссылку на оплату или счёт/реквизиты для юрлица. Подскажите, пожалуйста, ФИО ребёнка и какой курс оплачиваете.","[""Проверить актуальный способ оплаты для УНПК по конкретному курсу/договору"", ""Не отправлять ссылку или реквизиты без проверки свежих данных"", ""Уточнить ФИО ребёнка и курс, если этих данных нет в диалоге""]","[""подтвержденный способ оплаты для конкретного договора"", ""ФИО ребёнка"", ""курс или программа оплаты""]","[""fresh_facts_not_confirmed"", ""amo_context_not_found"", ""tallanto_context_not_found""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets""]",True,,
telegram_stage6_kb_eval_v1,10,codex,unpk_smoke_10,unpk,,2,unpk_smoke_10:client,2026-05-18T10:01:00+03:00,В какие дни занятия 10 класса на Пацаева — будни или выходные?,"2026-05-18T10:00:00+03:00 manager: Здравствуйте! Напишите, пожалуйста, ваш вопрос по обучению.",kb_release_20260518_v3_2,6,,"[""locations unpk / free trial offline / locations / 1: УНПК: адрес и место занятий, очно — Пацаева."", ""intensives 2026 / ege unpk / format: УНПК: интенсивы 2026 — онлайн, 2 занятия/нед."", ""locations unpk / addresses / 2 / address: УНПК: адрес и место занятий — Проспект Пацаева, 7к1."", ""academic year 2026 27 / daily hours: УНПК: учебный год 2026/27, длительность занятия — 2 ак.ч."", ""prices regular 2026 27 / online olympiad phystech 9 and 11 / schedule: УНПК: цены на 2026/27 учебный год, 9 и 11 класс, онлайн, расписание — будни."", ""ls city 2026 unpk / moscow ano / prices / plus individual: УНПК: городской летний лагерь, Москва, вариант с индивидуальными занятиями — 99 500 ₽.""]","[""schedule.current""]","[{""blocks_precise_answer"": true, ""candidate_source_ids"": [], ""fact_key"": ""schedule.current"", ""fact_type"": ""schedule"", ""reason"": ""schedule_source_not_ready"", ""safe_instruction"": ""Do not name exact group time or lesson date. Use the schedule-safe template and ask manager to follow up.""}]",False,True,question,education,theme:013_schedule,0.95,0.92,[],medium,draft_for_manager,"Здравствуйте! Уточню актуальное расписание по 10 классу на Пацаева и подскажу, есть ли группы в будни или в выходные. Если вам удобны конкретные дни или время, напишите, пожалуйста, чтобы мы сразу сверили подходящие варианты.","[""Проверить актуальное расписание 10 класса на Пацаева."", ""Не обещать наличие группы в будни или выходные без свежего подтверждения."", ""Использовать snapshot только как read-only подсказку."", ""Исторические ответы менеджеров не считать источником фактов.""]","[""schedule.current"", ""актуальные дни занятий 10 класса на Пацаева"", ""наличие мест в нужной группе""]","[""facts_stale"", ""facts_missing""]","[""manager_approval_required"", ""no_auto_send""]",[],"[""recent_messages"", ""rop_policy"", ""knowledge_snippets"", ""safe_schedule_template""]",True,2026-05-19T18:58:04.800236+00:00,
