source_id,chunk_id,title,freshness_status,fact_types,text,metadata
source:local_docx:a238607e99b38079,kc_chunk:674190a06df92c858dc5,ЦП 2026/2027 (курсы),unknown,price;payment_methods;program,ЦП 2026-2027 уч. год Курсы: УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26 ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26 ЛВШ: ЛВШ 2026 УНПК ЛВШ 2026 Фотон Архив: ЦП 2026-2027 уч. год УНПК Стоимость обучения и порядок оплаты на 2025/2026 уч г Стоимость обучения и порядок оплаты на 2025/2026 уч от 17.01.25,"{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 0}"
source:local_docx:a238607e99b38079,kc_chunk:9b2653582ec3cebabf8a,Теги/базы/промокоды,unknown,price;discount;manager_instruction;program,"Действующие теги, сегментация базы, промокоды Что за база | Что предлагаем | Тег в АМО | Промокод | Спец. условия | Выставка от ВЕБ.РФ | ЛВШ 2026/ЛШ2026Курсы (период не указан) | ВЕБ.РФ | LVSH-VEB20 | ЛВШ/ЛШ - 20%Курсы - 25% | Ученики МФТИ (выгрузка от 20.03.2026 | Курсы 26-27уч.г. | Действующие ученики МФТИ | нет | - 10% за раннее бронирование | Группа “желающие Фотон” из Талланто | Курсы 26-27уч.г. | Желающие 2026-2027 уч.г. ФОТОН | нет | нет | Ученики «Классы Физтех XXI» | ЛВШ 2026 | Физтех XXI | LVSH-KF-10 | скидка -10% и цена 88 200 в любое время | Действующие ученики онлайна (5-7 класс) | Курсы 26-27уч.г. | Действующие ученики Фотон | нет | нет","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 12}"
source:local_docx:a238607e99b38079,kc_chunk:e07fba0dd7224f823ff0,Полезная информация от филиалов,unknown,manager_instruction,Полезная информация от филиалов Вопросы по ФОТОНу и с чем их едят,"{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 17}"
source:local_docx:a238607e99b38079,kc_chunk:4b1400c560b8b04545c0,АМО Оглавление,unknown,payment_methods;manager_instruction,"АМО Оглавление Как проверить есть ли активная сделка на лид/клиента? Экспорт ученика из Талланто в АМО Привязка карточки АМО к Талланто Что делать, если контакт есть в АМО, но его нет в Талланто? Объединение контактов в АМО История общения vs лента сделки Фильтрация истории общения через сделки Вопросы: “Желающие” - что делаем с перспективой на следующий год?","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 20}"
source:local_docx:a238607e99b38079,kc_chunk:7288cc83705822f13aac,Проверка активной сделки лид/клиента,unknown,documents;manager_instruction;restriction,"Как проверить если ли контакт/сделка на клиента? В воронке «Лиды» собираются все заявки из любых точек входа.При входе в неразобранную заявку система предлагает принять заявку — распределить её на себя. Перед тем как связываться с клиентом, важно проверить, нет ли у этого клиента уже активных сделок.","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 32}"
source:local_docx:a238607e99b38079,kc_chunk:a887b741118402831b50,Способ 1. Автоматическая проверка в АМО,unknown,manager_instruction,Зайти в лид Прокрутить страницу вниз Система покажет весь перечень сделок по этому клиенту: активные забракованные,"{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 36}"
source:local_docx:a238607e99b38079,kc_chunk:15f1555bfd616432ed1d,Способ 2. Ручной поиск,unknown,restriction,"Скопировать контактную информацию клиента (ФИО, телефон, email и т.д.) Выйти во вкладку «Рабочий стол» Вставить данные в строку поиска Важно!Номер телефона вводим без пробелов.Иначе система может воспринять пробел как разрыв запроса и выдаст неточное совпадение, а все варианты, которые частично подходят.","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 42}"
source:local_docx:a238607e99b38079,kc_chunk:6691cebb0f9131041c22,"Что делать, если сделка уже есть",unknown,manager_instruction,Если клиент уже есть в системе с активной сделкой по интересующему продукту: не создаём дублирующую сделку передаем лид менеджеру работающему с клиентом для отработки всех вопросов Способы проверки (скрины) Авто проверка в АМО Ручной поиск,"{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 47}"
source:local_docx:a238607e99b38079,kc_chunk:49b632d705e80c8a7f1c,"Контакт есть в АМО, но его нет в Талланто",unknown,manager_instruction,"Что делать, если контакт есть в АМО, но его нет в Талланто? Столкнулись с кейсом - некоторые контакты не уходят в Талланто, как итог мы не можем записать человека в группу через виджет. Причина — техническая настройка системы. Кратко о причине: Если сделку сразу создали в воронке «Сделки B2C», она не проходит через обязательную лидовую воронку, и система её не передает. Решение — строгий порядок действий: Всегда начинайте с лидовой воронки (этап «В работе»). Только после выявления интереса и готовности что-то предлагать — переводите в «Сделки B2C». Если уже создали сделку напрямую в B2C: Её нужно вернуть в лидовую воронку на первый этап, а затем снова перевести в B2C или закрыть. Это гарант…","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 58}"
source:local_docx:a238607e99b38079,kc_chunk:67c51616bd436b517169,Экспорт ученика из Талланто в АМО,unknown,documents;payment_methods;manager_instruction,"Экспорт ученика из Талланто в АМО Если случится так, что человек есть в Талланто, но не создана карточка клиента в АМО, то из АМО ее можно экспортировать. Путь исправления проблемы: Заходим в ученики - находим нужного - действия - экспортировать в АМО CRM","{""prompt_eligible"": true, ""source_kind"": ""local_docx"", ""source_read_status"": ""read"", ""source_sha256"": ""a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327"", ""source_title"": ""База знаний КЦ"", ""start_block_index"": 76}"
