dialog_id,target_message_id,current_client_message,baseline_topic_id,enriched_topic_id,baseline_route,enriched_route,baseline_empty_clarification,enriched_empty_clarification,baseline_substantive_score,enriched_substantive_score,draft_became_more_substantive,empty_clarification_reduced,used_kb_context,invalid_topic_id,unsupported_numeric_promises,brand_separation_violation,high_risk_route_relaxed,baseline_manager_only_relaxed,baseline_manager_only_preserved,baseline_draft_text,enriched_draft_text
unpk_smoke_01,unpk_smoke_01:client,Здравствуйте. Сколько стоит подготовка к ЕГЭ для 11 класса очно в МФТИ на следующий год?,theme:001_pricing,service:S2_unclear,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_02,unpk_smoke_02:client,У меня трое детей. Какая скидка?,theme:005_discounts,service:S2_unclear,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_03,unpk_smoke_03:client,"Можно ли оплатить курс в рассрочку через банк, как обычно?",theme:006_installment,theme:001_pricing,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_04,unpk_smoke_04:client,Можно ли оплатить материнским капиталом и за сколько дней решается?,theme:007_matkap_payment,theme:001_pricing,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_05,unpk_smoke_05:client,"Расскажите про летний лагерь в Менделеево — даты, цены, какие тарифы?",theme:005_discounts,theme:001_pricing,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_06,unpk_smoke_06:client,Налоговый вычет вернёт сколько на двоих детей?,theme:008_tax_deduction,service:S2_unclear,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_07,unpk_smoke_07:client,Договор где можно посмотреть? Когда подпишем?,theme:011_contract,theme:013_schedule,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_08,unpk_smoke_08:client,"Нужна справка, чтобы получить вычет за прошлый год. Как быстро дадите?",theme:008_tax_deduction,service:S2_unclear,bot_answer_self,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_09,unpk_smoke_09:client,Платить через ЮКассу или на счёт юр.лицу?,theme:002_payment_method,service:S2_unclear,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
unpk_smoke_10,unpk_smoke_10:client,В какие дни занятия 10 класса на Пацаева — будни или выходные?,theme:013_schedule,service:S2_unclear,draft_for_manager,draft_for_manager,True,False,3,21,True,True,True,False,False,False,False,False,False,Здравствуйте! Уточним актуальные условия и вернемся с ответом.,"Здравствуйте! Вижу ваш вопрос и сверю его с данными по заявке. В базе знаний есть ориентир для менеджера, но перед ответом нужно сверить актуальность условий именно по вашей программе. Перед отправкой проверим актуальность условий именно для вашей программы."
